round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.00635,0.03450186044567081,0.0013186453055747964,0.03450186044567081,0.00253392743411222,4.075098037719727,0.006202045846611807,0.03144120504388942,0.0024158462827289545,0.03144120504388942,0.0024055010339763174
1,0.63865,0.22712142226066045,0.21625580493606789,0.22712142226066045,0.17936896845874553,0.9538978338241577,0.6395889369231816,0.22924730436474955,0.22602528037955538,0.22924730436474955,0.18135148802343531
2,0.65675,0.2670660236323365,0.26198310346368797,0.2670660236323365,0.21154580667829603,0.8225060105323792,0.6569730110399967,0.26789193785413545,0.2900299326564353,0.26789193785413545,0.21325698138494734
3,0.6594,0.27138869386051856,0.2644429850651393,0.27138869386051856,0.21532351951436046,0.7787429690361023,0.6603965640192572,0.2738003764836976,0.25986018120049337,0.2738003764836976,0.2184313085963674
4,0.66555,0.27632749114466026,0.270405067089646,0.27632749114466026,0.22255524145399017,0.7451097369194031,0.6663796445067806,0.2790007569703245,0.2539250266875467,0.2790007569703245,0.22652045706615395
5,0.6696,0.28036946301133747,0.26835386987672244,0.28036946301133747,0.2280504835260136,0.7187389731407166,0.670362446849118,0.2832685830071478,0.25560492916405664,0.2832685830071478,0.23181741092374736
6,0.6872,0.2928648267295584,0.2840313156496842,0.2928648267295584,0.24627705899645846,0.6842867732048035,0.6883619911644518,0.29470349704793897,0.26936793244311574,0.29470349704793897,0.24872243795316706
7,0.69875,0.31554469630965576,0.3103331116282586,0.31554469630965576,0.2695682191356102,0.6611289381980896,0.7000795968670199,0.31638256064962855,0.29579190466320254,0.31638256064962855,0.2714388818855736
8,0.7016,0.3189963725909842,0.2977877985980854,0.3189963725909842,0.2725424475656625,0.6357918977737427,0.7032753075131749,0.3219081283333368,0.2975381276612798,0.3219081283333368,0.27665952064725985
9,0.70375,0.32398703319361144,0.2981660573336634,0.32398703319361144,0.2777520348214454,0.6250200271606445,0.7053761913638879,0.3251537324050906,0.30429818870412,0.3251537324050906,0.27952420860667354
10,0.70535,0.3258673628766973,0.29891162484224276,0.3258673628766973,0.2795720938894539,0.619563102722168,0.7069740466869654,0.32762794868455786,0.3007564685698936,0.32762794868455786,0.2818533760570503
