round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.0002,0.029411764705882353,5.955003989852673e-06,0.029411764705882353,1.1907597046915931e-05,3.5422677993774414,0.0002812875582819297,0.029411764705882353,8.372577322865863e-06,0.029411764705882353,1.6740389198830335e-05
1,0.49,0.245771186030197,0.16276679009664163,0.245771186030197,0.18247334414679123,1.8048768043518066,0.4909462342983296,0.2488379768969373,0.17336324845092857,0.2488379768969373,0.18507509487273227
2,0.6458,0.335941695829017,0.2719548768785123,0.335941695829017,0.28789464561100847,0.9808260798454285,0.6474188314917049,0.3343075564184521,0.27645073338225423,0.3343075564184521,0.2865135917961772
3,0.681,0.3865579292536756,0.32614117255234953,0.3865579292536756,0.33204162216094113,0.7876160144805908,0.6797328052325169,0.37558085134511393,0.3192446792926338,0.37558085134511393,0.32561813626899033
4,0.687,0.388306342930773,0.33150729093868847,0.388306342930773,0.33481402184560993,0.696350634098053,0.690248413850713,0.3910474878152511,0.3387294508860508,0.3910474878152511,0.33930871655633593
5,0.6988,0.39972326172988426,0.3564820038421686,0.39972326172988426,0.34142911521416636,0.6513060927391052,0.6990961861384901,0.39916500478497646,0.34756060361176216,0.39916500478497646,0.3432119906496413
6,0.7036,0.4032979371551139,0.3307632766876433,0.4032979371551139,0.3433405130336369,0.630545973777771,0.7035087071285087,0.4066081631467337,0.40705444447735717,0.4066081631467337,0.3514809364072754
7,0.7054,0.3990902247197229,0.3302046251748138,0.3990902247197229,0.34713454752800665,0.618450403213501,0.7071569215207713,0.4105874630785628,0.43574537045476824,0.4105874630785628,0.36298287635946236
8,0.7046,0.4021317672112008,0.3339897136093518,0.4021317672112008,0.3460657122732108,0.6092004179954529,0.7071910169823812,0.416848831561569,0.43913548530172086,0.416848831561569,0.3652913665792396
9,0.7078,0.4062383378558769,0.34405981950050535,0.4062383378558769,0.3580818064671873,0.5970414280891418,0.7105096419124144,0.4203376722370682,0.4413125380590877,0.4203376722370682,0.3761825443548794
10,0.7072,0.4072627643200481,0.3468171947977687,0.4072627643200481,0.3559857284676648,0.5886296629905701,0.7110636931635759,0.42473072209045715,0.4239596099595711,0.42473072209045715,0.37706826384586806
