round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.717743548709742,0.12410071942446044,0.09025960957939223,0.12410071942446044,0.10450891296749389,2.005192518234253,0.7188013206271274,0.12440495380359572,0.09059193100625058,0.12440495380359572,0.10474458224927834
1,0.7435487097419484,0.38312863971956557,0.27648629966900484,0.38312863971956557,0.2841514105642257,0.7673625946044922,0.746273660762486,0.3809299371029986,0.2900814713911379,0.3809299371029986,0.28159782169386566
2,0.7923584716943388,0.44220511732998113,0.39627497748237095,0.44220511732998113,0.3771971115956092,0.5430874228477478,0.7885320240713275,0.42505560510293516,0.3792008186610424,0.42505560510293516,0.3633494769549539
3,0.7979595919183837,0.4470160353189713,0.40825687953990186,0.4470160353189713,0.3894544875716949,0.4672356843948364,0.7952601760457333,0.4300134105600921,0.4033976537853379,0.4300134105600921,0.37577454747188943
4,0.8045609121824365,0.45552018997932286,0.4240087982488446,0.45552018997932286,0.40330713364101384,0.4405679702758789,0.8022241542928905,0.43649646295056344,0.447126222727228,0.43649646295056344,0.38953982541020526
5,0.8097619523904781,0.46024538059170367,0.5182946630474949,0.46024538059170367,0.4180717380558211,0.4184076189994812,0.8092733709518858,0.44737030158770685,0.5345289660442405,0.44737030158770685,0.41190875807495725
6,0.8123624724944989,0.4694514428405845,0.5378049390814404,0.4694514428405845,0.43127078294108145,0.40783950686454773,0.8119129204384664,0.4556216224394475,0.5364230746148677,0.4556216224394475,0.4203328167060776
7,0.8159631926385277,0.47741150085260775,0.5282781111169859,0.47741150085260775,0.44945803266661644,0.40299150347709656,0.8150781067980475,0.46791188453777643,0.5472258137810788,0.46791188453777643,0.4460263554207763
8,0.8175635127025405,0.4768318691876523,0.5427694221762968,0.4768318691876523,0.44784889307174,0.41253912448883057,0.8160384595714213,0.4634592537382175,0.5562354573034495,0.4634592537382175,0.440013961737876
9,0.8179635927185437,0.4733669604116232,0.5409833049024918,0.4733669604116232,0.44778098986244774,0.3905009925365448,0.8174818300118766,0.4679648789731784,0.5601823462245556,0.4679648789731784,0.45121774959639327
10,0.8187637527505501,0.49034156806441903,0.5475279703773965,0.49034156806441903,0.46883343355067486,0.391152948141098,0.818155213465396,0.4802493946530663,0.5641537467282698,0.4802493946530663,0.4662844241182155
