round,client_id,feature,shap_value,shap_source_round,shap_calculated_this_round
1,1,Header_Length,0.004441754647929344,1,1
1,1,Protocol Type,0.0015633736572581367,1,1
1,1,Time_To_Live,0.004056932360951571,1,1
1,1,Rate,0.003934942470798717,1,1
1,1,fin_flag_number,0.0002803604203048815,1,1
1,1,syn_flag_number,0.004050702771513168,1,1
1,1,rst_flag_number,0.0004519031630125525,1,1
1,1,psh_flag_number,0.0008436570376025543,1,1
1,1,ack_flag_number,0.008928398892101654,1,1
1,1,ece_flag_number,0.0,1,1
1,1,cwr_flag_number,0.0,1,1
1,1,ack_count,0.0053050717295250035,1,1
1,1,syn_count,0.0031039796744650517,1,1
1,1,fin_count,0.0014479418335733652,1,1
1,1,rst_count,0.0017880692960105193,1,1
1,1,HTTP,0.00023440769371802617,1,1
1,1,HTTPS,0.002675639086551502,1,1
1,1,DNS,8.895115994108638e-06,1,1
1,1,Telnet,0.0,1,1
1,1,SMTP,0.0,1,1
1,1,SSH,0.0,1,1
1,1,IRC,0.0,1,1
1,1,TCP,0.005079673210186684,1,1
1,1,UDP,0.004160083423850054,1,1
1,1,DHCP,0.0,1,1
1,1,ARP,4.236479763675083e-05,1,1
1,1,ICMP,0.0008230603048637663,1,1
1,1,IGMP,0.0,1,1
1,1,IPv,6.391602521543916e-05,1,1
1,1,LLC,2.137890779417159e-05,1,1
1,1,Tot sum,0.0046195537175646,1,1
1,1,Min,0.0011537816277588319,1,1
1,1,Max,0.0034277882930939542,1,1
1,1,AVG,0.012263320105880667,1,1
1,1,Std,0.007402115751644942,1,1
1,1,Tot size,0.005797804976623126,1,1
1,1,IAT,0.006128796094681803,1,1
1,1,Number,0.004148042839850064,1,1
1,1,Variance,0.0012086990684895228,1,1
1,2,Header_Length,0.011116487463182239,1,1
1,2,Protocol Type,0.005758949829117057,1,1
1,2,Time_To_Live,0.006157911355718539,1,1
1,2,Rate,0.008149736314488223,1,1
1,2,fin_flag_number,0.0010543514885288374,1,1
1,2,syn_flag_number,0.007583628765498958,1,1
1,2,rst_flag_number,0.0010258611312933396,1,1
1,2,psh_flag_number,0.0016548472861482467,1,1
1,2,ack_flag_number,0.011628829149260582,1,1
1,2,ece_flag_number,0.0,1,1
1,2,cwr_flag_number,0.0,1,1
1,2,ack_count,0.007168188163794724,1,1
1,2,syn_count,0.007437197596223086,1,1
1,2,fin_count,0.00381574560608243,1,1
1,2,rst_count,0.005718767454944516,1,1
1,2,HTTP,0.000881229017941223,1,1
1,2,HTTPS,0.0011429922731643672,1,1
1,2,DNS,3.9175897218646225e-05,1,1
1,2,Telnet,0.0,1,1
1,2,SMTP,0.0,1,1
1,2,SSH,0.0,1,1
1,2,IRC,0.0,1,1
1,2,TCP,0.010734055630148304,1,1
1,2,UDP,0.006507540662569849,1,1
1,2,DHCP,0.0,1,1
1,2,ARP,9.595744563201781e-05,1,1
1,2,ICMP,0.002936834453430208,1,1
1,2,IGMP,0.0,1,1
1,2,IPv,6.094895235430331e-05,1,1
1,2,LLC,4.426553848484893e-05,1,1
1,2,Tot sum,0.01768655384859244,1,1
1,2,Min,0.00168392448591419,1,1
1,2,Max,0.006911493913257436,1,1
