feature,client_1,client_5,client_3,client_2,client_4,server
syn_count,0.0021578632113203626,0.0024649417823121265,0.022072903907621164,0.0062712091703071085,0.0498682760725884,0.013592893033044178
fin_count,0.023032704084132282,0.0040225385659253396,0.004691920656969286,0.010395836037071471,0.005382682520204095,0.013381485308764235
rst_flag_number,0.01608913668263747,0.006211675787946961,0.007961199464181274,0.004906077831133198,0.021746277060781014,0.010804078223942415
IRC,0.006192807973797036,0.027625419303973633,0.003730109749736517,0.008059941990388064,0.003771509770708783,0.00925805252281153
SSH,0.0007476220845399477,0.020629255505227144,0.0216938231292963,0.01747403127439406,0.01690466321281602,0.007822767099711001
ece_flag_number,0.0075741236353443295,0.011683342028604528,0.0061691765745793105,0.009097554438191833,0.0029229557797089923,0.007570044565068567
rst_count,0.004315140728563591,0.010740082457917787,0.0063601958731234,0.005890485685437717,0.009329860611064241,0.007406875632009658
SMTP,0.0012858986473061763,0.009266658811000222,0.010569945586141875,0.017325735152766298,0.003033271332805883,0.007144241490348013
DHCP,0.005132614428608545,0.00542320639841306,0.008090699233377357,0.0006700208495517025,0.0011681626143337804,0.006565576099169964
UDP,0.003903286155351684,0.0030896664432119108,0.009193468537640997,0.001942944783728318,0.0018377041239823586,0.006124191031014418
TCP,0.015142547814695088,0.010010871253698006,0.004442484642541786,0.0005109200283374457,0.001069494944947709,0.005923890651823928
ack_flag_number,0.004884818556023892,0.003884750724928254,0.015891250080697052,0.001468503524581887,0.005317877647071323,0.005434303870994945
ack_count,0.0005181527658896144,0.017617628437193177,0.019504187460546555,0.0005415271404861481,0.0015928363237351353,0.004810123217392472
Protocol Type,0.007649045817418752,0.0021563387017498876,0.0012588768924760622,0.0034853214267272815,0.015421318997220747,0.002232928814545143
ARP,0.0011331079267950508,0.0034478834231881097,0.0011935510909930073,0.0015819372256614611,0.0031948299970788706,0.0016580807405477673
HTTP,0.000307818516551133,0.005196016337254491,0.001870019081647335,0.0003766319640133968,0.0007135322180925051,0.0015275487017721043
Max,0.0010563228238637914,0.000870308542567117,0.0016361136855514683,0.0008794938078516609,0.006546901327468339,0.0010330963718578278
HTTPS,0.00032395429321525264,0.000524280034192468,0.00035223080542108533,0.0002678547318091417,0.0005858602639734896,0.001018487224929124
DNS,0.0021891115168082144,0.00289198745342713,0.0006491964996738746,0.002419173707447032,0.0037167750240162324,0.0010145007274005914
cwr_flag_number,0.00021341594773976894,0.002722539658787927,0.0007080517340317536,0.003209075800810534,0.0005486319725745891,0.0008362153791687508
psh_flag_number,0.00014736831408761702,0.0008088123103780735,0.00328518681989865,0.0012325805816844856,0.001954360481456779,0.0007913300276405814
IGMP,0.00025154599876544236,0.0023359968419916226,0.0003714215591008039,0.0005026173305707433,0.001062684104246723,0.0007905946484168619
ICMP,0.0005012230909603613,0.0010040252268295293,0.0005353334589670698,0.0022874006257005974,0.0016587802203988286,0.0007760405302408289
Rate,0.000980329084474408,0.0004908890594165611,0.00013540836128191514,0.0002880120313100294,0.0009209202716720094,0.0006214187322332023
AVG,0.00014573170296201135,0.0007885067851591022,0.0005118996382141149,0.00032864946042758655,0.0005218757625797185,0.0006127591077232048
LLC,0.0007824526705827197,0.0005961558698852281,0.0003759448297119472,0.0019919330652316126,0.0015099473474274117,0.0006097468605555737
Telnet,0.0014322909070209732,0.005892908202948494,0.004095368996390989,0.0031492477631892266,0.0012093134140864518,0.000565672118732787
fin_flag_number,0.00016398085115291577,0.004385935018208043,0.0025808820861109123,0.0009497481024225738,0.0009385521488243024,0.0005345469976540278
syn_flag_number,0.00056405755134125,0.008962879104906327,0.0010037566936551663,0.0031226909748781786,0.0018030711118040075,0.00028671847728316925
Header_Length,0.00014132890909634437,0.0004872935346280205,0.00027587370983069286,0.00023987034654352732,0.0006278931628241979,0.0002636654075760609
Time_To_Live,0.00012109758034449717,0.0007803015430157115,0.0002048325339084738,0.0005161397047366502,0.0005387203021911394,0.0002458594462965354
IPv,0.00010759706529131151,0.0006928594399015113,0.0003237387166819089,5.8419084929258285e-05,0.0002783162928252743,0.00023631399140723456
Min,3.461395649909786e-05,0.0010442957072296086,0.00020417949616264704,7.064766718718011e-05,0.00018496522043389018,0.00019149480930641364
Tot sum,6.600579735913476e-05,0.0006330344629896714,6.887795126596975e-05,0.00011393091669781353,0.00013573370779162096,9.798349510596114e-05
