round,class,client_id,class_examples,class_weight
1,BENIGN,1,21631,0.25672989359397813
1,BENIGN,2,30,0.10837539775206417
1,BENIGN,3,10438,0.2135481788369646
1,BENIGN,4,1789,0.14505784659796755
1,BENIGN,5,26562,0.27628868321902544
1,BRUTEFORCE,1,0,0.0
1,BRUTEFORCE,2,30,0.18282944268282952
1,BRUTEFORCE,3,442,0.3412992386106123
1,BRUTEFORCE,4,123,0.23587252320148688
1,BRUTEFORCE,5,132,0.23999879550507125
1,DDOS,1,1160039,0.3175064170052807
1,DDOS,2,24016,0.13416886927168503
1,DDOS,3,575798,0.25794518464441674
1,DDOS,4,37815,0.13891954995724753
1,DDOS,5,65238,0.15145997912137002
1,DOS,1,457,0.10666496729254883
1,DOS,2,58958,0.21374676439005827
1,DOS,3,19342,0.16625952825528784
1,DOS,4,356064,0.3726632101537715
1,DOS,5,8205,0.14066552990833356
1,MIRAI,1,9852,0.16591066646013866
1,MIRAI,2,30104,0.22311814429686605
1,MIRAI,3,93569,0.31528448424181504
1,MIRAI,4,2545,0.134176113103342
1,MIRAI,5,8040,0.16151059189783834
1,RECON,1,33060,0.3972620331788099
1,RECON,2,589,0.14251804927743816
1,RECON,3,516,0.14002540581949513
1,RECON,4,243,0.12483694216034345
1,RECON,5,3392,0.1953575695639133
1,SPOOFING,1,29,0.10555611170080954
1,SPOOFING,2,5190,0.21870625096687651
1,SPOOFING,3,6742,0.23503159854602645
1,SPOOFING,4,13850,0.2890429662446523
1,SPOOFING,5,1059,0.15166307254163522
1,WEB,1,49,0.1448755791265775
1,WEB,2,286,0.2184151547200176
1,WEB,3,21,0.1339271815866135
1,WEB,4,343,0.2261099930948281
1,WEB,5,670,0.27667209147196337
2,BENIGN,1,21631,0.25974136504482287
2,BENIGN,2,30,0.10773665050192699
2,BENIGN,3,10438,0.21343347320354045
2,BENIGN,4,1789,0.14029679263081185
2,BENIGN,5,26562,0.27879171861889795
2,BRUTEFORCE,1,0,0.0
2,BRUTEFORCE,2,30,0.18298733692785032
2,BRUTEFORCE,3,442,0.3421126738515674
2,BRUTEFORCE,4,123,0.2308479708839783
2,BRUTEFORCE,5,132,0.244052018336604
2,DDOS,1,1160039,0.3205178884561254
2,DDOS,2,24016,0.13353012202154782
2,DDOS,3,575798,0.25783047901099254
2,DDOS,4,37815,0.1341584959900918
2,DDOS,5,65238,0.15396301452124247
2,DOS,1,457,0.10967643874339353
2,DOS,2,58958,0.21310801713992106
2,DOS,3,19342,0.16614482262186364
2,DOS,4,356064,0.36790215618661576
2,DOS,5,8205,0.14316856530820601
2,MIRAI,1,9852,0.16892213791098337
2,MIRAI,2,30104,0.2224793970467288
2,MIRAI,3,93569,0.31516977860839085
2,MIRAI,4,2545,0.12941505913618626
2,MIRAI,5,8040,0.1640136272977108
2,RECON,1,33060,0.4002735046296546
2,RECON,2,589,0.14187930202730092
2,RECON,3,516,0.13991070018607094
2,RECON,4,243,0.12007588819318771
2,RECON,5,3392,0.19786060496378577
2,SPOOFING,1,29,0.10856758315165424
2,SPOOFING,2,5190,0.2180675037167393
2,SPOOFING,3,6742,0.23491689291260226
2,SPOOFING,4,13850,0.28428191227749655
2,SPOOFING,5,1059,0.15416610794150767
2,WEB,1,49,0.1478870505774222
2,WEB,2,286,0.2177764074698804
2,WEB,3,21,0.1338124759531893
2,WEB,4,343,0.22134893912767234
2,WEB,5,670,0.27917512687183577
3,BENIGN,1,21631,0.2546971649557899
3,BENIGN,2,30,0.1091929530579298
3,BENIGN,3,10438,0.21417254544598846
3,BENIGN,4,1789,0.14394851615993853
3,BENIGN,5,26562,0.27798882038035333
3,BRUTEFORCE,1,0,0.0
3,BRUTEFORCE,2,30,0.18320103473656724
3,BRUTEFORCE,3,442,0.34143196346270926
3,BRUTEFORCE,4,123,0.23388701356615227
3,BRUTEFORCE,5,132,0.24147998823457123
3,DDOS,1,1160039,0.31547368836709244
3,DDOS,2,24016,0.13498642457755064
3,DDOS,3,575798,0.25856955125344055
3,DDOS,4,37815,0.1378102195192185
3,DDOS,5,65238,0.15316011628269785
3,DOS,1,457,0.10463223865436057
3,DOS,2,58958,0.21456431969592388
3,DOS,3,19342,0.16688389486431165
3,DOS,4,356064,0.3715538797157425
3,DOS,5,8205,0.1423656670696614
3,MIRAI,1,9852,0.1638779378219504
3,MIRAI,2,30104,0.22393569960273163
3,MIRAI,3,93569,0.31590885085083886
3,MIRAI,4,2545,0.13306678266531297
3,MIRAI,5,8040,0.16321072905916617
3,RECON,1,33060,0.3952293045406217
3,RECON,2,589,0.14333560458330377
3,RECON,3,516,0.14064977242851898
3,RECON,4,243,0.12372761172231443
3,RECON,5,3392,0.19705770672524117
3,SPOOFING,1,29,0.1035233830626213
3,SPOOFING,2,5190,0.21952380627274212
3,SPOOFING,3,6742,0.2356559651550503
3,SPOOFING,4,13850,0.28793363580662334
3,SPOOFING,5,1059,0.15336320970296308
3,WEB,1,49,0.14284285048838927
3,WEB,2,286,0.2192327100258832
3,WEB,3,21,0.13455154819563733
3,WEB,4,343,0.2250006626567991
3,WEB,5,670,0.2783722286332912
4,BENIGN,1,21631,0.2607869473873283
4,BENIGN,2,30,0.10867018275210287
4,BENIGN,3,10438,0.21425341858505242
4,BENIGN,4,1789,0.13630120555355935
4,BENIGN,5,26562,0.27998824572195713
4,BRUTEFORCE,1,0,0.0
4,BRUTEFORCE,2,30,0.18449017870387766
4,BRUTEFORCE,3,442,0.3434751632608932
4,BRUTEFORCE,4,123,0.22615076843944482
4,BRUTEFORCE,5,132,0.2458838895957844
4,DDOS,1,1160039,0.32156347079863085
4,DDOS,2,24016,0.13446365427172371
4,DDOS,3,575798,0.2586504243925045
4,DDOS,4,37815,0.1301629089128393
4,DDOS,5,65238,0.15515954162430165
4,DOS,1,457,0.11072202108589899
4,DOS,2,58958,0.21404154939009695
4,DOS,3,19342,0.16696476800337562
4,DOS,4,356064,0.36390656910936325
4,DOS,5,8205,0.1443650924112652
4,MIRAI,1,9852,0.16996772025348883
4,MIRAI,2,30104,0.2234129292969047
4,MIRAI,3,93569,0.31598972398990277
4,MIRAI,4,2545,0.12541947205893375
4,MIRAI,5,8040,0.16521015440076997
4,RECON,1,33060,0.40131908697216007
4,RECON,2,589,0.14281283427747682
4,RECON,3,516,0.14073064556758288
4,RECON,4,243,0.11608030111593522
4,RECON,5,3392,0.19905713206684494
4,SPOOFING,1,29,0.1096131654941597
4,SPOOFING,2,5190,0.21900103596691517
4,SPOOFING,3,6742,0.2357368382941142
4,SPOOFING,4,13850,0.2802863252002441
4,SPOOFING,5,1059,0.15536263504456685
4,WEB,1,49,0.1489326329199277
4,WEB,2,286,0.21870993972005628
4,WEB,3,21,0.1346324213347013
4,WEB,4,343,0.2173533520504199
4,WEB,5,670,0.280371653974895
5,BENIGN,1,21631,0.2562255765440114
5,BENIGN,2,30,0.10777511126510617
5,BENIGN,3,10438,0.21323646683539013
5,BENIGN,4,1789,0.1454162207902655
5,BENIGN,5,26562,0.27734662456522685
5,BRUTEFORCE,1,0,0.0
5,BRUTEFORCE,2,30,0.18192713671910068
5,BRUTEFORCE,3,442,0.340754282253725
5,BRUTEFORCE,4,123,0.23616290944822807
5,BRUTEFORCE,5,132,0.24115567157894627
5,DDOS,1,1160039,0.317002099955314
5,DDOS,2,24016,0.13356858278472702
5,DDOS,3,575798,0.25763347264284225
5,DDOS,4,37815,0.13927792414954548
5,DDOS,5,65238,0.15251792046757143
5,DOS,1,457,0.10616065024258205
5,DOS,2,58958,0.21314647790310023
5,DOS,3,19342,0.16594781625371333
5,DOS,4,356064,0.37302158434606947
5,DOS,5,8205,0.14172347125453494
5,MIRAI,1,9852,0.16540634941017188
5,MIRAI,2,30104,0.22251785780990802
5,MIRAI,3,93569,0.3149727722402405
5,MIRAI,4,2545,0.1345344872956399
5,MIRAI,5,8040,0.16256853324403975
5,RECON,1,33060,0.39675771612884314
5,RECON,2,589,0.14191776279048013
5,RECON,3,516,0.1397136938179206
5,RECON,4,243,0.1251953163526414
5,RECON,5,3392,0.1964155109101147
5,SPOOFING,1,29,0.10505179465084276
5,SPOOFING,2,5190,0.21810596447991848
5,SPOOFING,3,6742,0.23471988654445192
5,SPOOFING,4,13850,0.2894013404369502
5,SPOOFING,5,1059,0.1527210138878366
5,WEB,1,49,0.14437126207661072
5,WEB,2,286,0.21781486823305957
5,WEB,3,21,0.13361546958503898
5,WEB,4,343,0.22646836728712602
5,WEB,5,670,0.2777300328181647
6,BENIGN,1,21631,0.2539830063844888
6,BENIGN,2,30,0.10982488790194873
6,BENIGN,3,10438,0.2154698249048405
6,BENIGN,4,1789,0.1413605639885104
6,BENIGN,5,26562,0.2793617168202116
6,BRUTEFORCE,1,0,0.0
6,BRUTEFORCE,2,30,0.18375533613493145
6,BRUTEFORCE,3,442,0.3428061489641448
6,BRUTEFORCE,4,123,0.2304862292819579
6,BRUTEFORCE,5,132,0.24295228561896587
6,DDOS,1,1160039,0.3147595297957913
6,DDOS,2,24016,0.13561835942156958
6,DDOS,3,575798,0.25986683071229255
6,DDOS,4,37815,0.13522226734779036
6,DDOS,5,65238,0.15453301272255612
6,DOS,1,457,0.10391808008305944
6,DOS,2,58958,0.21519625453994282
6,DOS,3,19342,0.16818117432316373
6,DOS,4,356064,0.3689659275443144
6,DOS,5,8205,0.1437385635095197
6,MIRAI,1,9852,0.16316377925064926
6,MIRAI,2,30104,0.22456763444675057
6,MIRAI,3,93569,0.3172061303096909
6,MIRAI,4,2545,0.1304788304938848
6,MIRAI,5,8040,0.16458362549902444
6,RECON,1,33060,0.3945151459693206
6,RECON,2,589,0.1439675394273227
6,RECON,3,516,0.141947051887371
6,RECON,4,243,0.12113965955088629
6,RECON,5,3392,0.19843060316509945
6,SPOOFING,1,29,0.10280922449132016
6,SPOOFING,2,5190,0.2201557411167611
6,SPOOFING,3,6742,0.23695324461390233
6,SPOOFING,4,13850,0.2853456836351952
6,SPOOFING,5,1059,0.15473610614282135
6,WEB,1,49,0.14212869191708813
6,WEB,2,286,0.21986464486990218
6,WEB,3,21,0.13584882765448938
6,WEB,4,343,0.22241271048537095
6,WEB,5,670,0.27974512507314947
7,BENIGN,1,21631,0.25563683868320614
7,BENIGN,2,30,0.10632646630739274
7,BENIGN,3,10438,0.21422884495054106
7,BENIGN,4,1789,0.14717477489256664
7,BENIGN,5,26562,0.2766330751662933
7,BRUTEFORCE,1,0,0.0
7,BRUTEFORCE,2,30,0.17995157632421496
7,BRUTEFORCE,3,442,0.3417974217939194
7,BRUTEFORCE,4,123,0.23815869803688
7,BRUTEFORCE,5,132,0.24009230384498562
7,DDOS,1,1160039,0.3164133620945087
7,DDOS,2,24016,0.13211993782701364
7,DDOS,3,575798,0.25862585075799327
7,DDOS,4,37815,0.14103647825184665
7,DDOS,5,65238,0.15180437106863792
7,DOS,1,457,0.10557191238177681
7,DOS,2,58958,0.21169783294538685
7,DOS,3,19342,0.16694019436886431
7,DOS,4,356064,0.3747801384483706
7,DOS,5,8205,0.14100992185560143
7,MIRAI,1,9852,0.16481761154936664
7,MIRAI,2,30104,0.2210692128521946
7,MIRAI,3,93569,0.3159651503553915
7,MIRAI,4,2545,0.13629304139794107
7,MIRAI,5,8040,0.16185498384510622
7,RECON,1,33060,0.3961689782680379
7,RECON,2,589,0.14046911783276672
7,RECON,3,516,0.1407060719330716
7,RECON,4,243,0.12695387045494255
7,RECON,5,3392,0.1957019615111812
7,SPOOFING,1,29,0.10446305679003752
7,SPOOFING,2,5190,0.21665731952220507
7,SPOOFING,3,6742,0.23571226465960293
7,SPOOFING,4,13850,0.2911598945392514
7,SPOOFING,5,1059,0.1520074644889031
7,WEB,1,49,0.1437825242158055
7,WEB,2,286,0.21636622327534616
7,WEB,3,21,0.13460784770018996
7,WEB,4,343,0.22822692138942718
7,WEB,5,670,0.27701648341923124
8,BENIGN,1,21631,0.2523473944672111
8,BENIGN,2,30,0.10697070647865253
8,BENIGN,3,10438,0.21383130014508278
8,BENIGN,4,1789,0.14740178469831106
8,BENIGN,5,26562,0.2794488142107425
8,BRUTEFORCE,1,0,0.0
8,BRUTEFORCE,2,30,0.17973986682376247
8,BRUTEFORCE,3,442,0.3402795127188312
8,BRUTEFORCE,4,123,0.2374268186697791
8,BRUTEFORCE,5,132,0.24255380178762714
8,DDOS,1,1160039,0.3131239178785137
8,DDOS,2,24016,0.13276417799827336
8,DDOS,3,575798,0.2582283059525349
8,DDOS,4,37815,0.14126348805759104
8,DDOS,5,65238,0.15462011011308707
8,DOS,1,457,0.10228246816578178
8,DOS,2,58958,0.2123420731166466
8,DOS,3,19342,0.16654264956340598
8,DOS,4,356064,0.375007148254115
8,DOS,5,8205,0.1438256609000506
8,MIRAI,1,9852,0.1615281673333716
