round,client_id,class,feature,class_shap_value
1,1,BENIGN,Header_Length,0.0002127019117438067
1,1,BENIGN,Protocol Type,9.817976145143348e-05
1,1,BENIGN,Time_To_Live,0.038066767177360815
1,1,BENIGN,Rate,0.00012682009591742372
1,1,BENIGN,fin_flag_number,9.903264674449019e-06
1,1,BENIGN,syn_flag_number,0.0002702058468173618
1,1,BENIGN,rst_flag_number,5.056291126948054e-06
1,1,BENIGN,psh_flag_number,9.609954792111353e-06
1,1,BENIGN,ack_flag_number,0.004098445921272287
1,1,BENIGN,ece_flag_number,0.0
1,1,BENIGN,cwr_flag_number,0.0
1,1,BENIGN,ack_count,0.0003767060765653696
1,1,BENIGN,syn_count,9.057070377025412e-05
1,1,BENIGN,fin_count,0.00027097794900328155
1,1,BENIGN,rst_count,0.00037296312716534886
1,1,BENIGN,HTTP,6.454507105058127e-06
1,1,BENIGN,HTTPS,1.2882301048766643e-05
1,1,BENIGN,DNS,4.45915102318395e-06
1,1,BENIGN,Telnet,0.0
1,1,BENIGN,SMTP,0.0
1,1,BENIGN,SSH,0.0
1,1,BENIGN,IRC,0.0
1,1,BENIGN,TCP,1.3497323408273587e-05
1,1,BENIGN,UDP,0.0010091762461343023
1,1,BENIGN,DHCP,0.0
1,1,BENIGN,ARP,3.363729360292278e-06
1,1,BENIGN,ICMP,3.729345383325366e-05
1,1,BENIGN,IGMP,0.0
1,1,BENIGN,IPv,1.8175726512220658e-06
1,1,BENIGN,LLC,9.726586636851775e-07
1,1,BENIGN,Tot sum,0.16584078139858321
1,1,BENIGN,Min,0.0007800399276732151
1,1,BENIGN,Max,0.0014318262103188318
1,1,BENIGN,AVG,0.003472397444784292
1,1,BENIGN,Std,0.014483185415156186
1,1,BENIGN,Tot size,0.01087146337958984
1,1,BENIGN,IAT,0.02650279612415716
1,1,BENIGN,Number,0.010512044994538883
1,1,BENIGN,Variance,0.3246565893292427
1,2,BENIGN,Header_Length,3.308552455338898e-07
1,2,BENIGN,Protocol Type,5.771322708625348e-07
1,2,BENIGN,Time_To_Live,4.689577294954006e-05
1,2,BENIGN,Rate,4.4912599744151295e-06
1,2,BENIGN,fin_flag_number,9.552659498979211e-08
1,2,BENIGN,syn_flag_number,3.3642520685361886e-05
1,2,BENIGN,rst_flag_number,2.9194518381681077e-07
1,2,BENIGN,psh_flag_number,2.514599801828332e-07
1,2,BENIGN,ack_flag_number,2.953067628013173e-05
1,2,BENIGN,ece_flag_number,0.0
1,2,BENIGN,cwr_flag_number,0.0
1,2,BENIGN,ack_count,5.394991338647515e-06
1,2,BENIGN,syn_count,3.594754857090265e-05
1,2,BENIGN,fin_count,1.1470347951103577e-05
1,2,BENIGN,rst_count,4.6368479409863994e-05
1,2,BENIGN,HTTP,1.635747367778606e-07
1,2,BENIGN,HTTPS,1.030922106437515e-06
1,2,BENIGN,DNS,8.1519194639057e-08
1,2,BENIGN,Telnet,0.0
1,2,BENIGN,SMTP,0.0
1,2,BENIGN,SSH,2.0086908136818236e-09
1,2,BENIGN,IRC,0.0
1,2,BENIGN,TCP,6.561065745494532e-08
1,2,BENIGN,UDP,6.905781191740568e-06
1,2,BENIGN,DHCP,0.0
1,2,BENIGN,ARP,2.808507759688439e-10
1,2,BENIGN,ICMP,3.791662048779898e-08
1,2,BENIGN,IGMP,0.0
1,2,BENIGN,IPv,2.9488242573455502e-09
1,2,BENIGN,LLC,2.1373216601509177e-10
1,2,BENIGN,Tot sum,0.0015787605314471875
1,2,BENIGN,Min,4.984648814927439e-05
1,2,BENIGN,Max,2.643045743297989e-05
1,2,BENIGN,AVG,0.0001618233134649927
1,2,BENIGN,Std,0.00015901510078037974
1,2,BENIGN,Tot size,0.0007402279050438664
1,2,BENIGN,IAT,0.00029594514670350236
1,2,BENIGN,Number,0.00014325012202220933
1,2,BENIGN,Variance,0.010714593704324215
1,3,BENIGN,Header_Length,0.00011408498505431908
1,3,BENIGN,Protocol Type,2.632489346865441e-06
1,3,BENIGN,Time_To_Live,0.004531488298266595
1,3,BENIGN,Rate,0.00011546996541937915
1,3,BENIGN,fin_flag_number,2.2311553317777564e-06
1,3,BENIGN,syn_flag_number,0.0010379508214555244
1,3,BENIGN,rst_flag_number,3.782148701647614e-06
1,3,BENIGN,psh_flag_number,2.0980799393699455e-05
1,3,BENIGN,ack_flag_number,0.00038002296366812516
1,3,BENIGN,ece_flag_number,0.0
1,3,BENIGN,cwr_flag_number,0.0
1,3,BENIGN,ack_count,0.00011561133130371104
1,3,BENIGN,syn_count,0.00043503458100531135
1,3,BENIGN,fin_count,0.00045482478758458457
1,3,BENIGN,rst_count,0.0006440865866352396
1,3,BENIGN,HTTP,5.899779260243321e-06
1,3,BENIGN,HTTPS,5.963356111848839e-06
1,3,BENIGN,DNS,1.753782150920591e-07
1,3,BENIGN,Telnet,0.0
1,3,BENIGN,SMTP,0.0
1,3,BENIGN,SSH,0.0
1,3,BENIGN,IRC,0.0
1,3,BENIGN,TCP,6.7451154009745554e-06
1,3,BENIGN,UDP,0.0001271035464128545
1,3,BENIGN,DHCP,0.0
1,3,BENIGN,ARP,4.703803298905691e-06
1,3,BENIGN,ICMP,2.328112345277855e-05
1,3,BENIGN,IGMP,0.0
1,3,BENIGN,IPv,3.8630265059125256e-06
1,3,BENIGN,LLC,6.924348824349086e-06
1,3,BENIGN,Tot sum,0.048804184142500165
1,3,BENIGN,Min,0.00034158183360659676
1,3,BENIGN,Max,0.0007769832962367218
1,3,BENIGN,AVG,0.007100968452868983
1,3,BENIGN,Std,0.008309489925159142
1,3,BENIGN,Tot size,0.0029887820193835067
1,3,BENIGN,IAT,0.06011625899018327
1,3,BENIGN,Number,0.004445497130927833
1,3,BENIGN,Variance,0.25895827198401095
1,4,BENIGN,Header_Length,0.00015667831575569836
1,4,BENIGN,Protocol Type,1.3072260264834767e-05
1,4,BENIGN,Time_To_Live,0.07024392851485288
1,4,BENIGN,Rate,7.102825553033654e-05
1,4,BENIGN,fin_flag_number,2.2134296037368274e-06
1,4,BENIGN,syn_flag_number,0.0029233612390271446
1,4,BENIGN,rst_flag_number,3.314760223194213e-06
1,4,BENIGN,psh_flag_number,7.273059399270921e-06
1,4,BENIGN,ack_flag_number,0.007399445853661746
1,4,BENIGN,ece_flag_number,0.0
1,4,BENIGN,cwr_flag_number,0.0
1,4,BENIGN,ack_count,0.00024240317823291945
1,4,BENIGN,syn_count,0.0007931797108085448
1,4,BENIGN,fin_count,0.00017369872865060642
1,4,BENIGN,rst_count,0.00017750187456613275
1,4,BENIGN,HTTP,1.0986729014772489e-05
1,4,BENIGN,HTTPS,2.9423112505000405e-05
1,4,BENIGN,DNS,3.807462208849088e-08
1,4,BENIGN,Telnet,0.0
1,4,BENIGN,SMTP,0.0
1,4,BENIGN,SSH,0.0
1,4,BENIGN,IRC,0.0
1,4,BENIGN,TCP,2.1890844019267774e-05
1,4,BENIGN,UDP,0.0007876033348566125
1,4,BENIGN,DHCP,0.0
1,4,BENIGN,ARP,2.31501600718104e-06
1,4,BENIGN,ICMP,1.9081722878766526e-05
