round,test_loss,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1
0,2.095327854156494,0.21650388878955837,0.2166591237980299,0.08935543975449423,0.09159831875792997,0.10367095161513132,0.10436731150440282,0.08935543975449423,0.09159831875792997,0.07718706060594804,0.0779460163000462
1,0.5082882642745972,0.7766236813874486,0.7781949635986747,0.46372984644657833,0.46193155847852996,0.5665021813171643,0.5558525232930573,0.46372984644657833,0.46193155847852996,0.3959576507810264,0.39401228500530533
2,0.48708847165107727,0.7977829429644198,0.7987953759421602,0.47519333593535296,0.4762921982921781,0.5720071989000549,0.5726768515660364,0.47519333593535296,0.4762921982921781,0.42540327613314294,0.4275549408577297
3,0.4700793921947479,0.8024539603075272,0.8032372874726921,0.46119346887355356,0.4618796603474798,0.5661189450868926,0.5657740562897959,0.46119346887355356,0.4618796603474798,0.4078088189345092,0.4098467503734561
4,0.4504147469997406,0.8053258537457536,0.8065114511920526,0.4894594966491663,0.48787947554545424,0.6320780046160569,0.6010693987975123,0.4894594966491663,0.48787947554545424,0.4589880604459705,0.45650412023685016
5,0.4515433609485626,0.8058622385124262,0.8063550065092163,0.48665072597276077,0.48184854054035303,0.6290082014542346,0.5713194906832507,0.48665072597276077,0.48184854054035303,0.454653482944304,0.4463181481694476
6,0.44873830676078796,0.804437466475952,0.8046732261687256,0.5011989675502898,0.49809861070984446,0.6402095681787766,0.5786101058535021,0.5011989675502898,0.49809861070984446,0.47803294633652865,0.47237884809165315
7,0.4365817904472351,0.8181935008045772,0.8177140079451549,0.5074697564543561,0.5049333961686057,0.6670834559668233,0.609585490578466,0.5074697564543561,0.5049333961686057,0.49667924431287286,0.4922059490295417
8,0.4237099885940552,0.8203502145539067,0.8197924873028378,0.5055449077924248,0.5032843059763857,0.6811412200273123,0.6467956934471204,0.5055449077924248,0.5032843059763857,0.498170173099438,0.4938727372923667
9,0.41490787267684937,0.8229818523153942,0.8225693804231828,0.5050083247450311,0.5028114860081379,0.6820244847975078,0.642393233575833,0.5050083247450311,0.5028114860081379,0.49972785433075373,0.4954504789755173
10,0.4170762002468109,0.8217693992490613,0.8209155366331987,0.5089655879087785,0.5091856091072193,0.6555496788640107,0.6417788915264026,0.5089655879087785,0.5091856091072193,0.5022506543621026,0.502237038664597
