round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.717743548709742,0.12410071942446044,0.09025960957939223,0.12410071942446044,0.10450891296749389,2.005192518234253,0.7188013206271274,0.12440495380359572,0.09059193100625058,0.12440495380359572,0.10474458224927834
1,0.7201440288057611,0.3730316104635485,0.26440026615008494,0.3730316104635485,0.25809790847500846,0.8670632243156433,0.7212618694488484,0.3691819345305735,0.2743585257300929,0.3691819345305735,0.25207456894438407
2,0.7875575115023005,0.43603378631773904,0.400077711227268,0.43603378631773904,0.36951169944727447,0.5715041160583496,0.7829830034606795,0.41297071851077927,0.37436890144393314,0.41297071851077927,0.3479610645279355
3,0.791758351670334,0.4420336824168854,0.38658696796245184,0.4420336824168854,0.38062764700425034,0.5012050867080688,0.789762298482188,0.42571532801010203,0.42391877207040135,0.42571532801010203,0.36793406346421764
4,0.7951590318063613,0.44669662331054094,0.3974798717191752,0.44669662331054094,0.3890187681772058,0.48336994647979736,0.7933849309852992,0.4309407374246631,0.4045354651529188,0.4309407374246631,0.37744749567304225
5,0.7979595919183837,0.4450176525790972,0.4470038805564235,0.4450176525790972,0.39439771267819324,0.4619219899177551,0.7965330696625127,0.4306856662458006,0.44474208698572526,0.4306856662458006,0.3819917457040912
6,0.8053610722144429,0.4593731273842784,0.42158994865403615,0.4593731273842784,0.41198315018435194,0.44323986768722534,0.8024883933695881,0.44427890676771387,0.46583818704950375,0.44427890676771387,0.4043331034233203
7,0.8079615923184637,0.4661021598657777,0.47111726004159904,0.4661021598657777,0.422415727875165,0.43696871399879456,0.804139177278849,0.44852760501908195,0.48705529750936394,0.44852760501908195,0.4093346621098052
8,0.8093618723744749,0.4654096597004269,0.5029287661561306,0.4654096597004269,0.4214233229185066,0.4266722798347473,0.8082959704961444,0.44929208525726055,0.5306551262838228,0.44929208525726055,0.4120495712625106
9,0.8093618723744749,0.46496544870379575,0.4902425348858919,0.46496544870379575,0.42718471580122164,0.4231351912021637,0.8089636713888747,0.45743196339932757,0.5263591712951395,0.45743196339932757,0.42511185501373816
10,0.8163632726545309,0.4738070570144661,0.5181601035558201,0.4738070570144661,0.4425913904924354,0.4076450765132904,0.8128619080902618,0.4585926178125649,0.5382704283303527,0.4585926178125649,0.43234122718277984
