round,client_id,num_test_examples,loss,accuracy,balanced_accuracy,precision,recall,f1
1,1,119710,1.7545744180679321,0.4112521927992649,0.2616812551036589,0.15272091137017832,0.2616812551036589,0.15633273818570761
1,2,119449,2.4250807762145996,0.35223400781923664,0.2725775208836736,0.166208046514622,0.2725775208836736,0.17410441192282713
1,3,149271,1.8577837944030762,0.5172203576046251,0.27189738046582124,0.21309119580983046,0.27189738046582124,0.22944867738249364
1,4,163941,1.2468092441558838,0.7225648251505115,0.25799673203883816,0.17052363509121682,0.25799673203883816,0.18616736229283437
1,5,91947,1.9849880933761597,0.31709571818547644,0.2525420783817022,0.14275459444228045,0.2525420783817022,0.13955540072453168
2,1,119710,0.6776472330093384,0.7613399047698605,0.3482765522118447,0.28329238411899776,0.3482765522118447,0.27453790514886073
2,2,119449,1.40849769115448,0.5210591968120286,0.36678859579720546,0.26092544232505843,0.36678859579720546,0.27469218865798867
2,3,149271,1.0418452024459839,0.6534624943893992,0.3671067509769913,0.3237734919833954,0.3671067509769913,0.33088142482570837
2,4,163941,0.7101908922195435,0.8023496257800062,0.34355170502233573,0.2624826690962222,0.34355170502233573,0.2786624077612256
2,5,91947,1.2111279964447021,0.37833752052813036,0.34847963472803273,0.23417607560777265,0.34847963472803273,0.22825099316750744
3,1,119710,0.5405996441841125,0.7836855734692173,0.38855509138357924,0.3211674725248118,0.38855509138357924,0.3091868123553935
3,2,119449,1.1915693283081055,0.5091126757026011,0.4124165748612134,0.287423942976483,0.4124165748612134,0.29817034682012916
3,3,149271,0.7290220856666565,0.7484575034668489,0.42017366419833013,0.37051888524699844,0.42017366419833013,0.37299945217267455
3,4,163941,0.6060715317726135,0.7606394983561159,0.38661239737791225,0.2983756170286278,0.38661239737791225,0.31387097358254906
3,5,91947,1.0143235921859741,0.5051497058087812,0.38814739773392243,0.28250035515017874,0.38814739773392243,0.27669298887667315
4,1,119710,0.4895017147064209,0.8035251858658424,0.4053913445906625,0.3371325021996466,0.4053913445906625,0.32583466586794696
4,2,119449,1.04537034034729,0.5143115471875026,0.4289675608579325,0.30165965036561254,0.4289675608579325,0.31299023799096126
4,3,149271,0.6050993204116821,0.7599935687440963,0.433880070293829,0.38562195552966605,0.433880070293829,0.38895261317415664
4,4,163941,0.5504196286201477,0.7685325818434681,0.4029704743486874,0.32384580210853275,0.4029704743486874,0.33140183942016493
4,5,91947,0.9333326816558838,0.5138503703220334,0.40459717372479626,0.3040412291853533,0.40459717372479626,0.28755454055755136
5,1,119710,0.4588431417942047,0.8103249519672542,0.4134151089944436,0.32611777547068405,0.4134151089944436,0.3314414351292058
5,2,119449,0.9794817566871643,0.5259315691215498,0.4355299314793424,0.31260398688662616,0.4355299314793424,0.32036198967383833
5,3,149271,0.5525593757629395,0.7649174990453604,0.4433517359036673,0.38570642210290457,0.4433517359036673,0.3945693967264949
5,4,163941,0.5291076302528381,0.7791461562391349,0.4107685583132438,0.3209591415539734,0.4107685583132438,0.3364430979078927
5,5,91947,0.867538332939148,0.5249219659151467,0.41285402945331157,0.29096163579750395,0.41285402945331157,0.29084044234023254
6,1,119710,0.43989458680152893,0.8210258123799181,0.4182680815807597,0.32758428816467877,0.4182680815807597,0.33108272874702227
6,2,119449,0.9495566487312317,0.5107954022218687,0.4452149806985044,0.36320048603516736,0.4452149806985044,0.3267436736980184
6,3,149271,0.532131552696228,0.78851886836693,0.4502693271499392,0.39837892054892426,0.4502693271499392,0.39956389215729365
6,4,163941,0.5223549604415894,0.7411995778969264,0.4189066374635276,0.35547051765020476,0.4189066374635276,0.34051080275004736
6,5,91947,0.8306914567947388,0.5901443222726136,0.4232661046264106,0.3291632223669234,0.4232661046264106,0.30572130625590843
7,1,119710,0.42389076948165894,0.8287528193133405,0.4198904350146056,0.3440000833502513,0.4198904350146056,0.34508288604602305
7,2,119449,0.9309496283531189,0.5390250232316721,0.4483861293783059,0.3533907867356774,0.4483861293783059,0.341377662872939
7,3,149271,0.5250312685966492,0.7600940571175915,0.451691607661649,0.39714741828581884,0.451691607661649,0.4035810524946503
7,4,163941,0.51162189245224,0.7828121092344197,0.42293669597355915,0.3735195385988881,0.42293669597355915,0.3572382203791382
7,5,91947,0.8217079043388367,0.5372660336933234,0.42609916462908026,0.33229159152902976,0.42609916462908026,0.3037958991115862
