round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.0002,0.029411764705882353,5.955003989852673e-06,0.029411764705882353,1.1907597046915931e-05,3.5422677993774414,0.0002812875582819297,0.029411764705882353,8.372577322865863e-06,0.029411764705882353,1.6740389198830335e-05
1,0.4886,0.26186189121538633,0.17757517212123156,0.26186189121538633,0.19929697890549763,1.4959425926208496,0.49117069608726166,0.26441424463602026,0.18473088763792614,0.26441424463602026,0.20243379348966004
2,0.684,0.3886499116048028,0.3446124107867433,0.3886499116048028,0.32980307876905696,0.7393350005149841,0.6841481675110029,0.38438256799009074,0.32464344842650095,0.38438256799009074,0.3303648654125113
3,0.7006,0.3977938058392022,0.34427134216336935,0.3977938058392022,0.34395076374691586,0.6530008316040039,0.7009998494117112,0.4031855255829745,0.38218697428753234,0.4031855255829745,0.3495154274067894
4,0.705,0.3995489661251764,0.3459579734801683,0.3995489661251764,0.3533080319629515,0.6162691712379456,0.7095464451219339,0.40836057247705554,0.4433699821763472,0.40836057247705554,0.3648883105809301
5,0.7068,0.40304480561203077,0.3418961370988799,0.40304480561203077,0.3533235923728256,0.6031814813613892,0.7098930823149682,0.41587851267713283,0.4153483493860291,0.41587851267713283,0.3704510247689325
6,0.71,0.40984342658457457,0.34506125262428544,0.40984342658457457,0.36074478642182795,0.5941144824028015,0.7116035379723997,0.42292464619986625,0.4161231617991729,0.42292464619986625,0.3780361132685934
7,0.705,0.40888783508977244,0.3434016676445282,0.40888783508977244,0.3621678616474416,0.5843152403831482,0.7113364568564553,0.4261280805555777,0.41922341046833667,0.4261280805555777,0.3834666799304841
8,0.7122,0.41554617482541323,0.3597239501402686,0.41554617482541323,0.3689389069955396,0.5796884894371033,0.7139191880734075,0.428785730086404,0.4219198348959329,0.428785730086404,0.3872148245293296
9,0.7114,0.4167591536471175,0.3461602637561322,0.4167591536471175,0.36770741813183117,0.5775940418243408,0.7150812750566127,0.43083214867214076,0.41621496849580236,0.43083214867214076,0.38725901999433104
10,0.7088,0.41887077085849905,0.37536500646518034,0.41887077085849905,0.3701712389806338,0.5705084204673767,0.7141521737277421,0.43218101166707357,0.44386499720593303,0.43218101166707357,0.3878408294176911
