round,client_id,feature,shap_value,shap_source_round,shap_calculated_this_round
1,1,Header_Length,0.009349662243165607,1,1
1,1,Protocol Type,0.0037796056502666635,1,1
1,1,Time_To_Live,0.004755477168395246,1,1
1,1,Rate,0.003658217718608763,1,1
1,1,fin_flag_number,0.00030636465058775874,1,1
1,1,syn_flag_number,0.00612700483908974,1,1
1,1,rst_flag_number,0.00022740181763583915,1,1
1,1,psh_flag_number,0.0007991513472832507,1,1
1,1,ack_flag_number,0.006080205798474025,1,1
1,1,ece_flag_number,0.0,1,1
1,1,cwr_flag_number,0.0,1,1
1,1,ack_count,0.00398812274545597,1,1
1,1,syn_count,0.005070758245545243,1,1
1,1,fin_count,0.0010233947057363098,1,1
1,1,rst_count,0.001278668702330034,1,1
1,1,HTTP,0.0003081971388522816,1,1
1,1,HTTPS,0.00042969302366800666,1,1
1,1,DNS,2.2811871432036563e-05,1,1
1,1,Telnet,0.0,1,1
1,1,SMTP,0.0,1,1
1,1,SSH,0.0,1,1
1,1,IRC,0.0,1,1
1,1,TCP,0.009300520720020583,1,1
1,1,UDP,0.006406001935210793,1,1
1,1,DHCP,0.0,1,1
1,1,ARP,1.7719182437690146e-05,1,1
1,1,ICMP,0.000777590270970249,1,1
1,1,IGMP,0.0,1,1
1,1,IPv,2.6786481802398712e-05,1,1
1,1,LLC,1.6174021892816164e-05,1,1
1,1,Tot sum,0.008309986665606166,1,1
1,1,Min,0.0007776846343506517,1,1
1,1,Max,0.0028532426803810442,1,1
1,1,AVG,0.011371034807681911,1,1
1,1,Std,0.0073569606806292,1,1
1,1,Tot size,0.008123201978936432,1,1
1,1,IAT,0.003414161884748908,1,1
1,1,Number,0.0011332611002293793,1,1
1,1,Variance,0.002674750019365684,1,1
1,2,Header_Length,0.0126212990286032,1,1
1,2,Protocol Type,0.00446570787245972,1,1
1,2,Time_To_Live,0.005342813517455658,1,1
1,2,Rate,0.004845445140313232,1,1
1,2,fin_flag_number,0.0002585917534199692,1,1
1,2,syn_flag_number,0.006935304800853721,1,1
1,2,rst_flag_number,0.0002017403994913921,1,1
1,2,psh_flag_number,0.00046674156334972587,1,1
1,2,ack_flag_number,0.006219640798477395,1,1
1,2,ece_flag_number,0.0,1,1
1,2,cwr_flag_number,0.0,1,1
1,2,ack_count,0.004467122088636186,1,1
1,2,syn_count,0.006254383556867282,1,1
1,2,fin_count,0.0013625214623172778,1,1
1,2,rst_count,0.0017346098923450373,1,1
1,2,HTTP,0.00030456722899293773,1,1
1,2,HTTPS,0.0004368800280130233,1,1
1,2,DNS,2.8565359086842487e-05,1,1
1,2,Telnet,0.0,1,1
1,2,SMTP,0.0,1,1
1,2,SSH,0.0,1,1
1,2,IRC,0.0,1,1
1,2,TCP,0.008686208508020687,1,1
1,2,UDP,0.006068161523709869,1,1
1,2,DHCP,0.0,1,1
1,2,ARP,1.6342471296369356e-05,1,1
1,2,ICMP,0.001085267715479502,1,1
1,2,IGMP,0.0,1,1
1,2,IPv,1.8620679124433594e-05,1,1
1,2,LLC,1.674848783652525e-05,1,1
1,2,Tot sum,0.008881816950530752,1,1
1,2,Min,0.0010191672129415043,1,1
1,2,Max,0.0018694577758654083,1,1
1,2,AVG,0.006919369456232269,1,1
1,2,Std,0.005647395976235877,1,1
1,2,Tot size,0.005750928790595671,1,1
1,2,IAT,0.004226392971829297,1,1
1,2,Number,0.000806045816710487,1,1
1,2,Variance,0.0019515311521257335,1,1
1,3,Header_Length,0.0116078678988636,1,1
1,3,Protocol Type,0.004895181608113608,1,1
1,3,Time_To_Live,0.005265335090772225,1,1
1,3,Rate,0.004484169043534386,1,1
1,3,fin_flag_number,0.0002724896870067915,1,1
1,3,syn_flag_number,0.007307849028139149,1,1
1,3,rst_flag_number,0.0002176782945470989,1,1
1,3,psh_flag_number,0.0007945515019647953,1,1
1,3,ack_flag_number,0.007857847123019818,1,1
1,3,ece_flag_number,0.0,1,1
1,3,cwr_flag_number,0.0,1,1
1,3,ack_count,0.005152056933625326,1,1
1,3,syn_count,0.006181446406747857,1,1
1,3,fin_count,0.0010878746796773907,1,1
1,3,rst_count,0.0015056476951126941,1,1
1,3,HTTP,0.00032307263158148653,1,1
1,3,HTTPS,0.0004890100677967132,1,1
1,3,DNS,2.9226528282201422e-05,1,1
1,3,Telnet,0.0,1,1
1,3,SMTP,0.0,1,1
1,3,SSH,0.0,1,1
1,3,IRC,0.0,1,1
1,3,TCP,0.00908991957122869,1,1
1,3,UDP,0.007467661277611924,1,1
1,3,DHCP,0.0,1,1
1,3,ARP,2.1802094464353642e-05,1,1
1,3,ICMP,0.0009636679136620764,1,1
1,3,IGMP,0.0,1,1
1,3,IPv,2.65926580303453e-05,1,1
1,3,LLC,3.085870446968629e-05,1,1
1,3,Tot sum,0.005141338072223187,1,1
1,3,Min,0.0006192935104274297,1,1
1,3,Max,0.0025908517589857158,1,1
1,3,AVG,0.010767258375311905,1,1
1,3,Std,0.007972980982475996,1,1
1,3,Tot size,0.005288567053914711,1,1
1,3,IAT,0.004001182720646607,1,1
1,3,Number,0.0010446413239274012,1,1
1,3,Variance,0.0018272000681994413,1,1
1,4,Header_Length,0.0128855877606041,1,1
1,4,Protocol Type,0.004341708232307914,1,1
1,4,Time_To_Live,0.0054648991685813915,1,1
1,4,Rate,0.004496314028909664,1,1
1,4,fin_flag_number,0.0002713540504698512,1,1
1,4,syn_flag_number,0.007683512031526348,1,1
1,4,rst_flag_number,0.0001913104113102924,1,1
1,4,psh_flag_number,0.0006044791359413914,1,1
1,4,ack_flag_number,0.006902193823470936,1,1
1,4,ece_flag_number,0.0,1,1
1,4,cwr_flag_number,0.0,1,1
1,4,ack_count,0.003833347286729847,1,1
1,4,syn_count,0.006511014710737788,1,1
1,4,fin_count,0.0009676930681781842,1,1
1,4,rst_count,0.0013207483456877437,1,1
1,4,HTTP,0.00021928445469917687,1,1
1,4,HTTPS,0.00033795466776397813,1,1
1,4,DNS,2.3709286820481607e-05,1,1
1,4,Telnet,0.0,1,1
1,4,SMTP,0.0,1,1
1,4,SSH,0.0,1,1
1,4,IRC,0.0,1,1
1,4,TCP,0.00935338038139904,1,1
1,4,UDP,0.006921687119195563,1,1
1,4,DHCP,0.0,1,1
1,4,ARP,2.0493388600504967e-05,1,1
1,4,ICMP,0.000826733882809672,1,1
1,4,IGMP,0.0,1,1
1,4,IPv,2.6441781764919194e-05,1,1
1,4,LLC,2.1513025530738387e-05,1,1
1,4,Tot sum,0.009756367520460756,1,1
1,4,Min,0.0006765169056624847,1,1
1,4,Max,0.0024764982696189927,1,1
1,4,AVG,0.009289392639336844,1,1
1,4,Std,0.006421635864928168,1,1
1,4,Tot size,0.007309488919585292,1,1
1,4,IAT,0.004090059721009174,1,1
1,4,Number,0.0008222869342867569,1,1
1,4,Variance,0.0032708296067583925,1,1
1,5,Header_Length,0.012181682388397168,1,1
1,5,Protocol Type,0.004130477318674918,1,1
1,5,Time_To_Live,0.0047660610165554075,1,1
1,5,Rate,0.00473828978874746,1,1
1,5,fin_flag_number,0.00029246756551224416,1,1
1,5,syn_flag_number,0.005027270865619985,1,1
1,5,rst_flag_number,0.00025167295404314715,1,1
1,5,psh_flag_number,0.0006444704026515978,1,1
1,5,ack_flag_number,0.005130456642780748,1,1
1,5,ece_flag_number,0.0,1,1
