round,client_id,num_examples,fedavg_weight,final_weight,warmup,client_score,raw_shap_weight,importance::BENIGN,reliability::BENIGN,similarity::BENIGN,gain::BENIGN,importance::DDOS,reliability::DDOS,similarity::DDOS,gain::DDOS,importance::DOS,reliability::DOS,similarity::DOS,gain::DOS,importance::MIRAI,reliability::MIRAI,similarity::MIRAI,gain::MIRAI,importance::RECON,reliability::RECON,similarity::RECON,gain::RECON,importance::SPOOFING,reliability::SPOOFING,similarity::SPOOFING,gain::SPOOFING,importance::WEB,reliability::WEB,similarity::WEB,gain::WEB
1,1,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,515452,0.2,0.21075502358353718,0,0.3307786298243413,0.2408086440102534,0.06621120538458307,0.491828202204485,0.8675276414488086,0.18296261593184437,0.054638256727881966,0.6729259132809833,0.6173990752759906,0.298639396952734,0.2045036276892747,0.11747358073236668,0.7818287195183498,0.11747358073236668,0.2045036276892747,0.0009995002498750624,0.9641052930827338,0.0009995002498750624,0.06113602713043613,0.0009995002498750624,0.8092934057859358,0.0,0.2045036276892747,0.5325368039257521,0.7806207617498082,0.5325368039257521,0.2045036276892747,0.0,0.0,0.0
3,2,515452,0.2,0.1939226884293248,0,0.18783513729888024,0.13594204289755343,0.06621120538458307,0.4975124378109453,0.8229816446749187,0.18864685153830468,0.054638256727881966,0.6022330774598744,0.8053297265611965,0.22794656113162515,0.2045036276892747,0.557838446383338,0.6604522112869017,0.557838446383338,0.2045036276892747,0.0,0.0,0.0,0.06113602713043613,0.0,0.0,0.0,0.2045036276892747,0.0,0.0,0.0,0.2045036276892747,0.0,0.0,0.0
3,3,515452,0.2,0.22400000000000003,0,0.48947028367061995,0.45430520288359133,0.06621120538458307,0.0,0.9687194605925358,0.0,0.054638256727881966,0.6959001782531195,0.6485372421103265,0.3216136619248702,0.2045036276892747,0.09501411100658513,0.7849161386580905,0.09501411100658513,0.2045036276892747,0.9415692821368948,0.7508344295013291,0.9415692821368948,0.06113602713043613,0.0,0.0,0.0,0.2045036276892747,0.4759635599159075,0.9130870569366734,0.4759635599159075,0.2045036276892747,0.09791666666666667,0.9175240175547033,0.09791666666666667
3,4,515452,0.2,0.18611526505215856,0,0.07711920246747965,0.08730126040895317,0.06621120538458307,0.0,0.9414196678429347,0.0,0.054638256727881966,0.5000626644942975,0.569130539584575,0.1257761481660482,0.2045036276892747,0.0,0.0,0.0,0.2045036276892747,0.0,0.0,0.0,0.06113602713043613,0.4979459728619445,0.9179096400097301,0.16344005664832117,0.2045036276892747,0.0,0.0,0.0,0.2045036276892747,0.0,0.0,0.0
