round,test_loss,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1
0,2.095327854156494,0.21650388878955837,0.2166591237980299,0.08935543975449423,0.09159831875792997,0.10367095161513132,0.10436731150440282,0.08935543975449423,0.09159831875792997,0.07718706060594804,0.0779460163000462
1,1.0664891004562378,0.732813338101198,0.732853942126642,0.2232040782061531,0.22341332287969054,0.4721237840576401,0.3327398533270003,0.2232040782061531,0.22341332287969054,0.22972975533002898,0.22991398814292813
2,0.9038292765617371,0.7340704898980869,0.7339602295266989,0.22742234326695288,0.22695989184778817,0.22707737059647531,0.22564843255420808,0.22742234326695288,0.22695989184778817,0.221030577341536,0.22029974417579548
3,0.7688551545143127,0.7355176112998391,0.7350888661671612,0.22354993582876206,0.22078045362353163,0.4578042955545446,0.3939477650737705,0.22354993582876206,0.22078045362353163,0.20515865470590677,0.20275509267994402
4,0.6665187478065491,0.7466978812801717,0.7466490107667466,0.29427257034228027,0.29349150120432604,0.49865778370247266,0.5124129813926227,0.29427257034228027,0.29349150120432604,0.2394849250236548,0.23781114370396256
5,0.6468741297721863,0.7386744591453602,0.7384356649178386,0.24490446030060226,0.24313980152059528,0.5221521269768655,0.4907956120404155,0.24490446030060226,0.24313980152059528,0.21536204151997113,0.2140744663886865
6,0.626623272895813,0.7449546307884856,0.7449057700151416,0.28303891601755427,0.28261217273041644,0.508801523882528,0.5023358495304863,0.28303891601755427,0.28261217273041644,0.2322055809202357,0.23202495276555268
7,0.6108609437942505,0.7465973091364205,0.7466322488364426,0.2931686895493382,0.2932279049299125,0.5414499361645569,0.43124218453230057,0.2931686895493382,0.2932279049299125,0.23625143005930174,0.2363843870607724
8,0.6028292775154114,0.7407473627748972,0.740525318895724,0.2577671979651082,0.25616755015326065,0.5192647792709212,0.4949961413601059,0.2577671979651082,0.25616755015326065,0.22150736263560236,0.2206012283814273
9,0.5871692895889282,0.7466084838190595,0.7466657726970505,0.29331942336125,0.29350750912895424,0.5766982659549742,0.4356235360389405,0.29331942336125,0.29350750912895424,0.23624371315986137,0.2364858884279856
10,0.5945447683334351,0.7393617021276596,0.7390893801996905,0.25062514770055766,0.2487492559328677,0.524643061753817,0.4273881268279308,0.25062514770055766,0.2487492559328677,0.22095095605418824,0.22001781973108964
