round,test_loss,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1
0,2.095327854156494,0.21650388878955837,0.2166591237980299,0.08935543975449423,0.09159831875792997,0.10367095161513132,0.10436731150440282,0.08935543975449423,0.09159831875792997,0.07718706060594804,0.0779460163000462
1,1.0664891004562378,0.732813338101198,0.732853942126642,0.2232040782061531,0.22341332287969054,0.4721237840576401,0.3327398533270003,0.2232040782061531,0.22341332287969054,0.22972975533002898,0.22991398814292813
2,0.8819666504859924,0.735495261934561,0.7354352793934417,0.23450356074006354,0.2344347567818513,0.29190368807026756,0.24417190700732738,0.23450356074006354,0.2344347567818513,0.22926170671399365,0.22925486603529607
3,0.8079025149345398,0.7466922939388522,0.7466098995960375,0.2915818039813086,0.29103489224803486,0.3031608820146124,0.2654053285864727,0.2915818039813086,0.29103489224803486,0.23505664928207706,0.23479561414866001
4,0.7349602580070496,0.7355399606651171,0.7352117869893897,0.22365022832326553,0.22171213737796672,0.3766786423912038,0.40863160286496675,0.22365022832326553,0.22171213737796672,0.20640274435069453,0.20550049672770757
5,0.6973652839660645,0.7377525478276417,0.7375416953016309,0.23723734333194443,0.23602110035793164,0.3682143512500029,0.4031401089525265,0.23723734333194443,0.23602110035793164,0.21131204245397092,0.21089667970399004
6,0.6784116625785828,0.7465134990166279,0.746470216843505,0.2913510792899568,0.2908608842110002,0.4597738380178775,0.4815243439545201,0.2913510792899568,0.2908608842110002,0.23675956212850674,0.2363806230927736
7,0.6798074841499329,0.7410658412301091,0.7407097001290669,0.25563744405189126,0.253253789187525,0.40450860052576354,0.43901435598420846,0.25563744405189126,0.253253789187525,0.2130606322527986,0.21119642872955538
8,0.6719695329666138,0.7443679599499374,0.7442241181827832,0.2779171157178707,0.2772460059643968,0.4630726804777124,0.49265477310879746,0.2779171157178707,0.2772460059643968,0.22881090785060518,0.22877314457998774
9,0.6689977645874023,0.7378195959234758,0.7374243617895037,0.25105734902055427,0.2478791139068627,0.37456388497182225,0.40840765538178136,0.25105734902055427,0.2478791139068627,0.2263303120333531,0.2234078607113476
10,0.6622664928436279,0.7378419452887538,0.7372679171066674,0.24437309812491823,0.24044701569292148,0.36033858101862865,0.3482216826202486,0.24437309812491823,0.24044701569292148,0.2178365764987156,0.2145960566723603
