round,class,client_id,class_examples,class_weight
1,BENIGN,1,21631,0.2599309529436465
1,BENIGN,2,30,0.10590335775292685
1,BENIGN,3,10438,0.21120465078833114
1,BENIGN,4,1789,0.14601068519011293
1,BENIGN,5,26562,0.2769503533249828
1,BRUTEFORCE,1,0,0.0
1,BRUTEFORCE,2,30,0.18075564312183764
1,BRUTEFORCE,3,442,0.3393868422419882
1,BRUTEFORCE,4,123,0.23804736793463208
1,BRUTEFORCE,5,132,0.24181014670154224
1,DDOS,1,1160039,0.32070747635494895
1,DDOS,2,24016,0.13169682927254767
1,DDOS,3,575798,0.2556016565957832
1,DDOS,4,37815,0.13987238854939288
1,DDOS,5,65238,0.15212164922732724
1,DOS,1,457,0.10986602664221708
1,DOS,2,58958,0.21127472439092093
1,DOS,3,19342,0.16391600020665434
1,DOS,4,356064,0.3736160487459169
1,DOS,5,8205,0.14132720001429083
1,MIRAI,1,9852,0.16911172580980688
1,MIRAI,2,30104,0.22064610429772868
1,MIRAI,3,93569,0.3129409561931815
1,MIRAI,4,2545,0.13512895169548733
1,MIRAI,5,8040,0.1621722620037956
1,RECON,1,33060,0.4004630925284782
1,RECON,2,589,0.14004600927830083
1,RECON,3,516,0.13768187777086163
1,RECON,4,243,0.1257897807524888
1,RECON,5,3392,0.1960192396698706
1,SPOOFING,1,29,0.10875717105047777
1,SPOOFING,2,5190,0.21623421096773915
1,SPOOFING,3,6742,0.23268807049739293
1,SPOOFING,4,13850,0.28999580483679765
1,SPOOFING,5,1059,0.15232474264759246
1,WEB,1,49,0.14807663847624575
1,WEB,2,286,0.21594311472088024
1,WEB,3,21,0.13158365353797996
1,WEB,4,343,0.22706283168697344
1,WEB,5,670,0.27733376157792056
2,BENIGN,1,21631,0.2602417809346856
2,BENIGN,2,30,0.10636737546707876
2,BENIGN,3,10438,0.21054392764103094
2,BENIGN,4,1789,0.1447886879379044
2,BENIGN,5,26562,0.27805822801930036
2,BRUTEFORCE,1,0,0.0
2,BRUTEFORCE,2,30,0.18143340246634673
2,BRUTEFORCE,3,442,0.33865755109222945
2,BRUTEFORCE,4,123,0.2366157108449357
2,BRUTEFORCE,5,132,0.24329333559648808
2,DDOS,1,1160039,0.3210183043459881
2,DDOS,2,24016,0.1321608469866996
2,DDOS,3,575798,0.254940933448483
2,DDOS,4,37815,0.13865039129718434
2,DDOS,5,65238,0.15322952392164488
2,DOS,1,457,0.11017685463325624
2,DOS,2,58958,0.21173874210507285
2,DOS,3,19342,0.16325527705935416
2,DOS,4,356064,0.37239405149370836
2,DOS,5,8205,0.14243507470860844
2,MIRAI,1,9852,0.16942255380084606
2,MIRAI,2,30104,0.2211101220118806
2,MIRAI,3,93569,0.3122802330458813
2,MIRAI,4,2545,0.1339069544432788
2,MIRAI,5,8040,0.1632801366981132
2,RECON,1,33060,0.4007739205195173
2,RECON,2,589,0.1405100269924527
2,RECON,3,516,0.1370211546235614
2,RECON,4,243,0.12456778350028026
2,RECON,5,3392,0.19712711436418817
2,SPOOFING,1,29,0.10906799904151694
2,SPOOFING,2,5190,0.2166982286818911
2,SPOOFING,3,6742,0.23202734735009273
2,SPOOFING,4,13850,0.28877380758458915
2,SPOOFING,5,1059,0.15343261734191008
2,WEB,1,49,0.14838746646728493
2,WEB,2,286,0.2164071324350322
2,WEB,3,21,0.13092293039067981
2,WEB,4,343,0.22584083443476494
2,WEB,5,670,0.2784416362722382
3,BENIGN,1,21631,0.26021950781595843
3,BENIGN,2,30,0.10563471759921791
3,BENIGN,3,10438,0.21016799681001616
3,BENIGN,4,1789,0.146204085603742
3,BENIGN,5,26562,0.2777736921710656
3,BRUTEFORCE,1,0,0.0
3,BRUTEFORCE,2,30,0.1805097684231644
3,BRUTEFORCE,3,442,0.33818028442231807
3,BRUTEFORCE,4,123,0.23837963203797624
3,BRUTEFORCE,5,132,0.24293031511654126
3,DDOS,1,1160039,0.32099603122726095
3,DDOS,2,24016,0.13142818911883875
3,DDOS,3,575798,0.25456500261746823
3,DDOS,4,37815,0.14006578896302196
3,DDOS,5,65238,0.15294498807341012
3,DOS,1,457,0.11015458151452907
3,DOS,2,58958,0.21100608423721198
3,DOS,3,19342,0.16287934622833936
3,DOS,4,356064,0.37380944915954595
3,DOS,5,8205,0.14215053886037365
3,MIRAI,1,9852,0.16940028068211888
3,MIRAI,2,30104,0.2203774641440197
3,MIRAI,3,93569,0.3119043022148665
3,MIRAI,4,2545,0.1353223521091164
3,MIRAI,5,8040,0.16299560084987844
3,RECON,1,33060,0.4007516474007902
3,RECON,2,589,0.1397773691245919
3,RECON,3,516,0.13664522379254665
3,RECON,4,243,0.12598318116611792
3,RECON,5,3392,0.19684257851595344
3,SPOOFING,1,29,0.1090457259227898
3,SPOOFING,2,5190,0.21596557081403026
3,SPOOFING,3,6742,0.23165141651907797
3,SPOOFING,4,13850,0.2901892052504268
3,SPOOFING,5,1059,0.15314808149367534
3,WEB,1,49,0.14836519334855774
3,WEB,2,286,0.21567447456717131
3,WEB,3,21,0.130546999559665
3,WEB,4,343,0.22725623210060253
3,WEB,5,670,0.27815710042400343
4,BENIGN,1,21631,0.26017278754939566
4,BENIGN,2,30,0.1066787248258797
4,BENIGN,3,10438,0.211388306997272
4,BENIGN,4,1789,0.1466328360733894
4,BENIGN,5,26562,0.27512734455406335
4,BRUTEFORCE,1,0,0.0
4,BRUTEFORCE,2,30,0.18180120114041406
4,BRUTEFORCE,3,442,0.33969234758559996
4,BRUTEFORCE,4,123,0.23890132363646524
4,BRUTEFORCE,5,132,0.23960512763752073
4,DDOS,1,1160039,0.32094931096069823
4,DDOS,2,24016,0.13247219634550056
4,DDOS,3,575798,0.2557853128047241
4,DDOS,4,37815,0.14049453943266937
4,DDOS,5,65238,0.1502986404564079
4,DOS,1,457,0.11010786124796629
4,DOS,2,58958,0.21205009146387377
4,DOS,3,19342,0.1640996564155952
4,DOS,4,356064,0.37423819962919336
4,DOS,5,8205,0.1395041912433714
4,MIRAI,1,9852,0.1693535604155561
4,MIRAI,2,30104,0.22142147137068152
4,MIRAI,3,93569,0.3131246124021224
4,MIRAI,4,2545,0.1357511025787638
4,MIRAI,5,8040,0.1603492532328762
4,RECON,1,33060,0.4007049271342274
4,RECON,2,589,0.14082137635125364
4,RECON,3,516,0.13786553397980247
4,RECON,4,243,0.12641193163576528
4,RECON,5,3392,0.19419623089895116
4,SPOOFING,1,29,0.108999005656227
4,SPOOFING,2,5190,0.217009578040692
4,SPOOFING,3,6742,0.2328717267063338
4,SPOOFING,4,13850,0.2906179557200741
4,SPOOFING,5,1059,0.15050173387667307
4,WEB,1,49,0.14831847308199497
4,WEB,2,286,0.2167184817938331
4,WEB,3,21,0.13176730974692086
4,WEB,4,343,0.2276849825702499
4,WEB,5,670,0.2755107528070012
5,BENIGN,1,21631,0.26011449795129116
5,BENIGN,2,30,0.1067519820474269
5,BENIGN,3,10438,0.21138117043708232
5,BENIGN,4,1789,0.1445127644636211
5,BENIGN,5,26562,0.27723958510057856
5,BRUTEFORCE,1,0,0.0
5,BRUTEFORCE,2,30,0.1818744564899946
5,BRUTEFORCE,3,442,0.33966511921574827
5,BRUTEFORCE,4,123,0.23623122681947745
5,BRUTEFORCE,5,132,0.24222919747477972
5,DDOS,1,1160039,0.3208910213625937
5,DDOS,2,24016,0.13254545356704775
5,DDOS,3,575798,0.2557781762445344
5,DDOS,4,37815,0.13837446782290105
5,DDOS,5,65238,0.1524108810029231
5,DOS,1,457,0.11004957164986182
5,DOS,2,58958,0.212123348685421
5,DOS,3,19342,0.16409251985540552
5,DOS,4,356064,0.372118128019425
5,DOS,5,8205,0.14161643178988664
5,MIRAI,1,9852,0.16929527081745166
5,MIRAI,2,30104,0.22149472859222874
5,MIRAI,3,93569,0.3131174758419327
5,MIRAI,4,2545,0.1336310309689955
5,MIRAI,5,8040,0.16246149377939142
5,RECON,1,33060,0.4006466375361229
5,RECON,2,589,0.14089463357280085
5,RECON,3,516,0.1378583974196128
5,RECON,4,243,0.12429186002599697
5,RECON,5,3392,0.19630847144546637
5,SPOOFING,1,29,0.10894071605812253
5,SPOOFING,2,5190,0.2170828352622392
5,SPOOFING,3,6742,0.23286459014614413
5,SPOOFING,4,13850,0.28849788411030586
5,SPOOFING,5,1059,0.1526139744231883
5,WEB,1,49,0.1482601834838905
5,WEB,2,286,0.2167917390153803
5,WEB,3,21,0.13176017318673117
5,WEB,4,343,0.22556491096048162
5,WEB,5,670,0.2776229933535164
6,BENIGN,1,21631,0.26072639270656994
6,BENIGN,2,30,0.10658077371522406
6,BENIGN,3,10438,0.21102548562024204
6,BENIGN,4,1789,0.14609812983422485
6,BENIGN,5,26562,0.275569218123739
6,BRUTEFORCE,1,0,0.0
6,BRUTEFORCE,2,30,0.18185326402834376
6,BRUTEFORCE,3,442,0.33941193421353744
6,BRUTEFORCE,4,123,0.23840614887721026
6,BRUTEFORCE,5,132,0.24032865288090854
6,DDOS,1,1160039,0.3215029161178725
6,DDOS,2,24016,0.13237424523484492
6,DDOS,3,575798,0.25542249142769413
6,DDOS,4,37815,0.13995983319350483
6,DDOS,5,65238,0.15074051402608357
6,DOS,1,457,0.11066146640514064
6,DOS,2,58958,0.21195214035321816
6,DOS,3,19342,0.1637368350385653
6,DOS,4,356064,0.3737034933900288
6,DOS,5,8205,0.13994606481304714
6,MIRAI,1,9852,0.16990716557273047
6,MIRAI,2,30104,0.22132352026002594
6,MIRAI,3,93569,0.3127617910250925
6,MIRAI,4,2545,0.13521639633959928
6,MIRAI,5,8040,0.16079112680255192
6,RECON,1,33060,0.40125853229140174
6,RECON,2,589,0.14072342524059805
6,RECON,3,516,0.13750271260277255
6,RECON,4,243,0.12587722539660073
6,RECON,5,3392,0.1946381044686269
6,SPOOFING,1,29,0.10955261081340135
6,SPOOFING,2,5190,0.2169116269300364
6,SPOOFING,3,6742,0.23250890532930388
6,SPOOFING,4,13850,0.2900832494809096
6,SPOOFING,5,1059,0.1509436074463488
6,WEB,1,49,0.14887207823916931
6,WEB,2,286,0.2166205306831775
6,WEB,3,21,0.13140448836989094
6,WEB,4,343,0.22715027633108537
6,WEB,5,670,0.2759526263766769
7,BENIGN,1,21631,0.25923746184812685
7,BENIGN,2,30,0.10650956309578465
7,BENIGN,3,10438,0.21106984463064193
7,BENIGN,4,1789,0.14609618557709012
7,BENIGN,5,26562,0.2770869448483564
7,BRUTEFORCE,1,0,0.0
7,BRUTEFORCE,2,30,0.1812959084655362
7,BRUTEFORCE,3,442,0.3390018578723957
7,BRUTEFORCE,4,123,0.23793758787583486
7,BRUTEFORCE,5,132,0.24176464578623325
7,DDOS,1,1160039,0.32001398525942937
7,DDOS,2,24016,0.1323030346154055
7,DDOS,3,575798,0.25546685043809403
7,DDOS,4,37815,0.13995788893637007
7,DDOS,5,65238,0.15225824075070093
7,DOS,1,457,0.10917253554669754
7,DOS,2,58958,0.21188092973377876
7,DOS,3,19342,0.16378119404896518
7,DOS,4,356064,0.37370154913289405
7,DOS,5,8205,0.1414637915376645
7,MIRAI,1,9852,0.16841823471428735
7,MIRAI,2,30104,0.2212523096405865
7,MIRAI,3,93569,0.3128061500354924
7,MIRAI,4,2545,0.13521445208246455
7,MIRAI,5,8040,0.16230885352716928
7,RECON,1,33060,0.39976960143295864
7,RECON,2,589,0.14065221462115862
7,RECON,3,516,0.13754707161317248
7,RECON,4,243,0.125875281139466
7,RECON,5,3392,0.19615583119324426
7,SPOOFING,1,29,0.10806367995495825
7,SPOOFING,2,5190,0.21684041631059697
7,SPOOFING,3,6742,0.2325532643397038
7,SPOOFING,4,13850,0.29008130522377484
7,SPOOFING,5,1059,0.15246133417096616
7,WEB,1,49,0.14738314738072622
7,WEB,2,286,0.21654932006373806
7,WEB,3,21,0.13144884738029083
7,WEB,4,343,0.22714833207395063
7,WEB,5,670,0.2774703531012943
8,BENIGN,1,21631,0.25988812048283827
8,BENIGN,2,30,0.1063548714759407
8,BENIGN,3,10438,0.21067613443620353
8,BENIGN,4,1789,0.14619131942490515
8,BENIGN,5,26562,0.27688955418011246
8,BRUTEFORCE,1,0,0.0
8,BRUTEFORCE,2,30,0.18130668498560856
8,BRUTEFORCE,3,442,0.33871275200157286
8,BRUTEFORCE,4,123,0.23825978033921177
8,BRUTEFORCE,5,132,0.2417207826736067
8,DDOS,1,1160039,0.3206646438941408
8,DDOS,2,24016,0.13214834299556155
8,DDOS,3,575798,0.2550731402436557
8,DDOS,4,37815,0.14005302278418513
8,DDOS,5,65238,0.152060850082457
8,DOS,1,457,0.10982319418140889
8,DOS,2,58958,0.21172623811393476
8,DOS,3,19342,0.16338748385452673
8,DOS,4,356064,0.37379668298070906
8,DOS,5,8205,0.14126640086942052
8,MIRAI,1,9852,0.16906889334899872
8,MIRAI,2,30104,0.22109761802074251
8,MIRAI,3,93569,0.31241243984105393
8,MIRAI,4,2545,0.13530958593027956
8,MIRAI,5,8040,0.1621114628589253
8,RECON,1,33060,0.40042026006766995
8,RECON,2,589,0.14049752300131463
8,RECON,3,516,0.13715336141873402
8,RECON,4,243,0.125970414987281
8,RECON,5,3392,0.19595844052500028
8,SPOOFING,1,29,0.1087143385896696
8,SPOOFING,2,5190,0.216685724690753
8,SPOOFING,3,6742,0.23215955414526535
8,SPOOFING,4,13850,0.29017643907158985
8,SPOOFING,5,1059,0.15226394350272218
8,WEB,1,49,0.14803380601543759
8,WEB,2,286,0.2163946284438941
8,WEB,3,21,0.13105513718585238
8,WEB,4,343,0.22724346592176564
8,WEB,5,670,0.27727296243305033
9,BENIGN,1,21631,0.25769233133237557
9,BENIGN,2,30,0.10669170398426253
9,BENIGN,3,10438,0.21168975723804367
9,BENIGN,4,1789,0.14671017576215795
9,BENIGN,5,26562,0.27721603168316034
9,BRUTEFORCE,1,0,0.0
9,BRUTEFORCE,2,30,0.18104019830348747
9,BRUTEFORCE,3,442,0.33929298539124797
9,BRUTEFORCE,4,123,0.23822085716750535
9,BRUTEFORCE,5,132,0.24144595913775913
9,DDOS,1,1160039,0.3184688547436781
9,DDOS,2,24016,0.1324851755038834
9,DDOS,3,575798,0.2560867630454958
9,DDOS,4,37815,0.14057187912143795
9,DDOS,5,65238,0.1523873275855049
9,DOS,1,457,0.10762740503094619
9,DOS,2,58958,0.2120630706222566
9,DOS,3,19342,0.16440110665636687
9,DOS,4,356064,0.3743155393179619
9,DOS,5,8205,0.14159287837246842
9,MIRAI,1,9852,0.16687310419853602
9,MIRAI,2,30104,0.22143445052906435
9,MIRAI,3,93569,0.3134260626428941
9,MIRAI,4,2545,0.13582844226753238
9,MIRAI,5,8040,0.16243794036197323
9,RECON,1,33060,0.39822447091720736
9,RECON,2,589,0.1408343555096365
9,RECON,3,516,0.1381669842205742
9,RECON,4,243,0.12648927132453386
9,RECON,5,3392,0.19628491802804823
9,SPOOFING,1,29,0.1065185494392069
9,SPOOFING,2,5190,0.21702255719907484
9,SPOOFING,3,6742,0.2331731769471055
9,SPOOFING,4,13850,0.2906952954088427
9,SPOOFING,5,1059,0.15259042100577008
9,WEB,1,49,0.14583801686497488
9,WEB,2,286,0.21673146095221593
9,WEB,3,21,0.13206875998769252
9,WEB,4,343,0.2277623222590185
9,WEB,5,670,0.2775994399360982
10,BENIGN,1,21631,0.2605393735388317
10,BENIGN,2,30,0.10689499253457731
10,BENIGN,3,10438,0.20799060777044556
10,BENIGN,4,1789,0.146945750532541
10,BENIGN,5,26562,0.2776292756236045
10,BRUTEFORCE,1,0,0.0
10,BRUTEFORCE,2,30,0.18218766359395977
10,BRUTEFORCE,3,442,0.3355532884840618
10,BRUTEFORCE,4,123,0.23940872072529062
10,BRUTEFORCE,5,132,0.2428503271966878
10,DDOS,1,1160039,0.3213158969501343
10,DDOS,2,24016,0.13268846405419815
10,DDOS,3,575798,0.25238761357789763
10,DDOS,4,37815,0.14080745389182095
10,DDOS,5,65238,0.15280057152594906
10,DOS,1,457,0.11047444723740239
10,DOS,2,58958,0.21226635917257136
10,DOS,3,19342,0.16070195718876876
10,DOS,4,356064,0.37455111408834496
10,DOS,5,8205,0.1420061223129126
10,MIRAI,1,9852,0.16972014640499222
10,MIRAI,2,30104,0.22163773907937914
10,MIRAI,3,93569,0.30972691317529594
10,MIRAI,4,2545,0.1360640170379154
10,MIRAI,5,8040,0.1628511843024174
10,RECON,1,33060,0.40107151312366357
10,RECON,2,589,0.14103764405995128
10,RECON,3,516,0.13446783475297605
10,RECON,4,243,0.1267248460949169
10,RECON,5,3392,0.19669816196849238
10,SPOOFING,1,29,0.1093655916456631
10,SPOOFING,2,5190,0.21722584574938963
10,SPOOFING,3,6742,0.22947402747950735
10,SPOOFING,4,13850,0.2909308701792257
10,SPOOFING,5,1059,0.15300366494621426
10,WEB,1,49,0.14868505907143106
10,WEB,2,286,0.21693474950253067
10,WEB,3,21,0.12836961052009438
10,WEB,4,343,0.22799789702940146
10,WEB,5,670,0.2780126838765423
