feature,server_shap
Tot sum,0.08627490349858476
AVG,0.07436258531776545
Variance,0.056778361369081265
Tot size,0.05463185238896113
UDP,0.01243012473698036
Std,0.009804968291634637
fin_count,0.008925375811953238
Min,0.004658699863451683
Time_To_Live,0.004059404162421945
Max,0.003756397803044642
rst_count,0.0036657039831896566
syn_count,0.003662420006633803
syn_flag_number,0.0035426074187529344
ack_flag_number,0.003411277599390581
ack_count,0.0028980527284442072
Header_Length,0.002613956971337328
IAT,0.0018468105886166564
Number,0.0010643632479391426
TCP,0.0010550249821616718
Protocol Type,0.00040739369108393447
Rate,0.0004001412702018145
ICMP,0.00020748508466445566
psh_flag_number,5.522483754092866e-05
fin_flag_number,3.987984085093173e-05
HTTPS,3.5716444566395905e-05
rst_flag_number,9.985807267848317e-06
HTTP,4.726696993618218e-06
DNS,3.2205024906235254e-07
ARP,2.8351234246177716e-07
IPv,2.1218845808004622e-07
LLC,1.324475421066301e-07
DHCP,3.0671763652031847e-08
IGMP,0.0
ece_flag_number,0.0
cwr_flag_number,0.0
IRC,0.0
SSH,0.0
Telnet,0.0
SMTP,0.0
