feature,server_shap
Tot sum,0.08203095174662962
AVG,0.06962334279237858
Variance,0.04837806752718052
Tot size,0.04710877119411947
UDP,0.011998706891970185
Std,0.009660424578227902
fin_count,0.008338237504175328
Min,0.004303711402073074
Time_To_Live,0.004209811456929388
Max,0.003688467172018228
rst_count,0.003511984631325214
ack_flag_number,0.0033676121212327494
syn_count,0.00325927790389204
syn_flag_number,0.0028139712012557644
ack_count,0.0025802539733357135
Header_Length,0.002434279309247377
IAT,0.00194167987891797
TCP,0.0010016149669704
Number,0.0009871445468618413
Rate,0.0004140295350145845
Protocol Type,0.00040337174317875234
ICMP,0.0001863976500329534
HTTPS,4.4772549225372244e-05
psh_flag_number,4.291917986604182e-05
fin_flag_number,3.556337315391679e-05
HTTP,1.0297082075714933e-05
rst_flag_number,1.0244909712644486e-05
DNS,2.9467234961547847e-07
ARP,2.4881146526458745e-07
IPv,1.9254533100218878e-07
LLC,1.3186518684331382e-07
DHCP,3.3774699275195555e-08
IGMP,0.0
ece_flag_number,0.0
cwr_flag_number,0.0
IRC,0.0
SSH,0.0
Telnet,0.0
SMTP,0.0
