round,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1,test_loss
0,0.107282541,0.107974768,0.047176938,0.033927792,0.055254151,0.055233404,0.047176938,0.033927792,0.028659844,0.028607371,2.406644106
1,0.773651216,0.773222258,0.398715994,0.39986235,0.457388482,0.468362554,0.398715994,0.39986235,0.332386347,0.334040053,0.526954055
2,0.776148757,0.775764484,0.402870481,0.404219343,0.464827815,0.475313293,0.402870481,0.404219343,0.337563619,0.339705584,0.505860686
3,0.798905999,0.798990932,0.422591664,0.421732075,0.480420779,0.483757662,0.422591664,0.421732075,0.380218256,0.380074001,0.504480481
4,0.800341945,0.799924013,0.419803777,0.416933476,0.494405711,0.492917903,0.419803777,0.416933476,0.377592443,0.373686432,0.486398727
5,0.805661094,0.804952592,0.435555715,0.434983795,0.491201714,0.492817817,0.435555715,0.434983795,0.402640094,0.402494466,0.477829695
6,0.804297783,0.804410623,0.437455333,0.43762158,0.506496671,0.509084121,0.437455333,0.43762158,0.400496521,0.400612039,0.466363251
7,0.806493608,0.806500277,0.439484276,0.439526493,0.503365525,0.506371237,0.439484276,0.439526493,0.40530572,0.406207926,0.461825579
8,0.806929421,0.806153863,0.442050201,0.440849341,0.496764802,0.500092837,0.442050201,0.440849341,0.412047808,0.41163135,0.471305758
9,0.806985294,0.806874626,0.44144587,0.438671745,0.506679568,0.506458226,0.44144587,0.438671745,0.411354326,0.40819624,0.459877044
10,0.808203335,0.807980914,0.439467117,0.437205077,0.510051795,0.511211709,0.439467117,0.437205077,0.411849457,0.409447414,0.459734708
