feature,server_shap
Tot sum,0.08724777502302743
AVG,0.07276687320679073
Variance,0.05041357441366912
Tot size,0.049036838416097905
UDP,0.012518795196686115
Std,0.009695298190825987
fin_count,0.008727028648506744
Min,0.0045828962354407705
Time_To_Live,0.004017515598995659
Max,0.0038276176866520297
rst_count,0.003657927893782864
syn_count,0.003532897648252129
ack_flag_number,0.0033325713229242025
syn_flag_number,0.0027688220671748492
ack_count,0.002753813187643421
Header_Length,0.0025339302597855917
IAT,0.0019850878360022505
TCP,0.0010546416006030443
Number,0.0009928602309526358
Rate,0.00042984682268285945
Protocol Type,0.0004140690850314207
ICMP,0.00019563029063259026
HTTPS,4.59679150602627e-05
psh_flag_number,4.568996536085869e-05
fin_flag_number,3.732239787928436e-05
rst_flag_number,9.993523445028596e-06
HTTP,9.481722371419071e-06
DNS,3.0216161125918263e-07
ARP,2.5996739031442776e-07
IPv,2.0584879478957547e-07
LLC,1.3757498820255366e-07
DHCP,3.665390766127103e-08
IGMP,0.0
ece_flag_number,0.0
cwr_flag_number,0.0
IRC,0.0
SSH,0.0
Telnet,0.0
SMTP,0.0
