round,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1,test_loss
0,0.1072825406758448,0.10797476770758253,0.04717693823442301,0.03392779161688048,0.05525415063870285,0.05523340373116236,0.04717693823442301,0.03392779161688048,0.028659843887302288,0.028607371350240572,2.406644105911255
1,0.7723884766672626,0.7720209859367405,0.3967645137491293,0.3972745805460424,0.4558162358406871,0.46622595727103083,0.3967645137491293,0.3972745805460424,0.3304091283200673,0.33131520985618956,0.525111734867096
2,0.7763890130520293,0.7758203568056231,0.40561054276884273,0.4059969345469993,0.46773598775429553,0.47363549310945885,0.40561054276884273,0.4059969345469993,0.34323269592460803,0.3436242442661685,0.5069875717163086
3,0.7991686036116574,0.7991753130290484,0.42673764463773944,0.42538028375307246,0.4791031239128123,0.48054170734075896,0.42673764463773944,0.42538028375307246,0.3869733922956853,0.385401311113963,0.5062142014503479
4,0.8009006794207044,0.8002145527078899,0.4237799069624524,0.4217006725733377,0.4891069932218289,0.48872842694148305,0.4237799069624524,0.4217006725733377,0.3839270832999684,0.3811804482895425,0.4870701730251312
5,0.8062086536742357,0.8054610368930086,0.44170524738699146,0.4414390301875617,0.49167159113326425,0.49233877629168904,0.44170524738699146,0.4414390301875617,0.4103842057812487,0.4098134771703166,0.4789239168167114
6,0.804767119613803,0.8047793850606503,0.44292106561207,0.44192483095940654,0.4958163295480231,0.49736892563024765,0.44292106561207,0.44192483095940654,0.40754333223010203,0.40634394864389844,0.47028398513793945
7,0.8063986232790988,0.8068634517284344,0.448025027846444,0.44808078623245184,0.497811092397053,0.5002803663068669,0.448025027846444,0.44808078623245184,0.41762230107079606,0.4173030134365028,0.46714091300964355
8,0.8058007777579117,0.8056174815758449,0.4514927898183204,0.4508067689655342,0.4936045391701644,0.4949909446721718,0.4514927898183204,0.4508067689655342,0.42483696940968957,0.4238547210600905,0.47720101475715637
9,0.8072646611836224,0.8068746263486369,0.45384908655821077,0.45158891099433474,0.49605251095612474,0.49600632460954225,0.45384908655821077,0.45158891099433474,0.42852820855798734,0.4261353185887945,0.46661779284477234
10,0.8083765421062041,0.8077462467244394,0.4545034328822559,0.45023896710340483,0.565104447849621,0.5026131077003371,0.4545034328822559,0.45023896710340483,0.43289814474992416,0.4274372866182117,0.4655816853046417
