round,class,client_id,class_examples,class_weight,class_shap_weight
1,BENIGN,1,21631,0.26271024121339537,0.2056882296289523
1,BENIGN,2,30,0.10977867894848777,0.2076501818038826
1,BENIGN,3,10438,0.21576088452595937,0.20941755671459708
1,BENIGN,4,1789,0.1514624410315067,0.2109745463279308
1,BENIGN,5,26562,0.2602877542806509,0.16626948552463716
1,BRUTEFORCE,1,0,0.0,0.0
1,BRUTEFORCE,2,30,0.1766845986059442,0.24177283803715816
1,BRUTEFORCE,3,442,0.3536718326639038,0.27899192736679934
1,BRUTEFORCE,4,123,0.2351977751510817,0.24443014528996437
1,BRUTEFORCE,5,132,0.2344457935790704,0.23480508930607807
1,DDOS,1,1160039,0.3069028043069575,0.17252030899347143
1,DDOS,2,24016,0.14251479366902534,0.22153546820571604
1,DDOS,3,575798,0.2657684527353391,0.2206386815184524
1,DDOS,4,37815,0.11947163278637168,0.1592695231191009
1,DDOS,5,65238,0.1653423165023064,0.22603601816325924
1,DOS,1,457,0.07178583731964772,0.12396927444431567
1,DOS,2,58958,0.22036754869947117,0.2180851880298613
1,DOS,3,19342,0.1756735567038754,0.22382020223378277
1,DOS,4,356064,0.38596815242474275,0.22477524200279508
1,DOS,5,8205,0.14620490485226298,0.2093500932892453
1,MIRAI,1,9852,0.16893204047820498,0.19977028242625058
1,MIRAI,2,30104,0.22139499039711125,0.2013973116115259
1,MIRAI,3,93569,0.3141114695807992,0.20264611601457602
1,MIRAI,4,2545,0.13500864801879156,0.19983042729175177
1,MIRAI,5,8040,0.160552851525093,0.19635586265589575
1,RECON,1,33060,0.40304346715349515,0.20529040233948834
1,RECON,2,589,0.135165955834778,0.19013943252571516
1,RECON,3,516,0.14046825923999395,0.20587785217760532
1,RECON,4,243,0.12213694343206535,0.19276536000429642
1,RECON,5,3392,0.1991853743396675,0.20592695295289484
1,SPOOFING,1,29,0.10752318020996572,0.19766167140843027
1,SPOOFING,2,5190,0.21845003040189903,0.20433117828108047
1,SPOOFING,3,6742,0.23364021350877234,0.20220937526209945
1,SPOOFING,4,13850,0.2914786217403354,0.20303666845221877
1,SPOOFING,5,1059,0.14890795413902752,0.19276110659617104
1,WEB,1,49,0.10708399753562155,0.11814437120820598
1,WEB,2,286,0.22646408393899936,0.220941477848999
1,WEB,3,21,0.1409599395309963,0.21905766122537326
1,WEB,4,343,0.23836950601095716,0.22268438329311074
1,WEB,5,670,0.28712247298342564,0.21917210642431104
2,BENIGN,1,21631,0.2629146421592351,0.20609703152063177
2,BENIGN,2,30,0.09603823363071774,0.18016929116834254
2,BENIGN,3,10438,0.21898378239142338,0.2158633524455251
2,BENIGN,4,1789,0.14034595810290412,0.18874158047072573
2,BENIGN,5,26562,0.2817173837157197,0.20912874439477483
2,BRUTEFORCE,1,0,0.0,0.0
2,BRUTEFORCE,2,30,0.18246245097019884,0.25332854276566746
2,BRUTEFORCE,3,442,0.3417708011688556,0.2551898643767031
2,BRUTEFORCE,4,123,0.23478356329013755,0.24360172156807613
2,BRUTEFORCE,5,132,0.24098318457080792,0.2478798712895532
2,DDOS,1,1160039,0.31874560305658173,0.1962059064927199
2,DDOS,2,24016,0.13828713474147628,0.21308015035061792
2,DDOS,3,575798,0.26654107955295736,0.22218393515368892
2,DDOS,4,37815,0.12335390945887606,0.16703407646410967
2,DDOS,5,65238,0.15307227319010858,0.2014959315388636
2,DOS,1,457,0.06771580668671194,0.11582921317844412
2,DOS,2,58958,0.21133439303849982,0.20001887670791854
2,DOS,3,19342,0.17690538020234275,0.22628384923071743
2,DOS,4,356064,0.38632211615748846,0.22548316946828656
2,DOS,5,8205,0.15772230391495706,0.23238489141463348
2,MIRAI,1,9852,0.16823548523820817,0.19837717194625695
2,MIRAI,2,30104,0.22014160478988748,0.19889054039707849
2,MIRAI,3,93569,0.3135469407163571,0.20151705828569177
2,MIRAI,4,2545,0.13492056363779875,0.19965425852976618
2,MIRAI,5,8040,0.16315540561774844,0.2015609708412067
2,RECON,1,33060,0.4004303116779349,0.20006409138836775
2,RECON,2,589,0.14050269425509213,0.20081290936634336
2,RECON,3,516,0.13911489248512715,0.20317111866787163
2,RECON,4,243,0.12231302364371553,0.19311752042759675
