feature,server_shap
Tot sum,0.08696625464072127
AVG,0.07464789175703107
Variance,0.05699135345395973
Tot size,0.05475370806515501
UDP,0.012497785662926253
Std,0.009843910859809029
fin_count,0.008977181362557683
Min,0.0046764790993798966
Time_To_Live,0.004077931873897251
Max,0.0037762391569036557
syn_count,0.003706049209523428
rst_count,0.0036856586940901413
syn_flag_number,0.0035289043353227633
ack_flag_number,0.003409782238318839
ack_count,0.0029279157255156086
Header_Length,0.002627518668135147
IAT,0.0018477492307721831
Number,0.0010641818029051473
TCP,0.0010607872613194707
Protocol Type,0.0004092935244134951
Rate,0.0004023156871003551
ICMP,0.0002099717435120357
psh_flag_number,5.5621067339156564e-05
fin_flag_number,4.0076062223550647e-05
HTTPS,3.58757838423919e-05
rst_flag_number,1.0039902116993977e-05
HTTP,4.651722080832522e-06
DNS,3.227432865250606e-07
ARP,2.855359712589946e-07
IPv,2.1392050293403643e-07
LLC,1.3294025426585709e-07
DHCP,3.095210183133435e-08
IGMP,0.0
ece_flag_number,0.0
cwr_flag_number,0.0
IRC,0.0
SSH,0.0
Telnet,0.0
SMTP,0.0
