round,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1,test_loss
0,0.1072825406758448,0.10797476770758253,0.04717693823442301,0.03392779161688048,0.05525415063870285,0.05523340373116236,0.04717693823442301,0.03392779161688048,0.028659843887302288,0.028607371350240572,2.406644105911255
1,0.7723605399606651,0.7720377478670444,0.3970638745005045,0.3975249937799382,0.45599327261528966,0.4668287936757059,0.3970638745005045,0.3975249937799382,0.33043792196972843,0.33122121079612515,0.5248662829399109
2,0.7762716788843197,0.7757588963945088,0.40957942194779273,0.40869986969895983,0.46635360783050595,0.47072061994098674,0.40957942194779273,0.40869986969895983,0.3469448326839524,0.3466912765143654,0.5090451240539551
3,0.7943411407116038,0.7935265425166362,0.42374075755235485,0.42182299596790385,0.4785736873897332,0.47826584438787556,0.42374075755235485,0.42182299596790385,0.3788330073782321,0.376315469909,0.49934062361717224
4,0.8007162971571608,0.801175570045313,0.43082965222060277,0.4286204965248293,0.4825707394242947,0.48286737373179567,0.43082965222060277,0.4286204965248293,0.3942856470981807,0.3917619499077085,0.49670395255088806
5,0.8015376363311282,0.8016560787140247,0.4353757957596708,0.4348592016871515,0.4970307350654243,0.5014794119231021,0.4353757957596708,0.4348592016871515,0.3933797446237669,0.3932448769017737,0.4761678874492645
6,0.8023869122116932,0.8025276990898272,0.44094343117959073,0.43867850310898104,0.4890700602367983,0.49107641652590855,0.44094343117959073,0.43867850310898104,0.4135496185413612,0.4111078218910701,0.471296101808548
7,0.807370820668693,0.8076009766618057,0.4500098348286679,0.449318019517289,0.5424884431156853,0.504245561389931,0.4500098348286679,0.449318019517289,0.4197577352825942,0.4176937022825091,0.47021225094795227
8,0.807733997854461,0.8071986903345123,0.4437697292171876,0.4410012833116467,0.5034050735483133,0.5030251682332406,0.4437697292171876,0.4410012833116467,0.4159168899257135,0.4128958062663622,0.4644351899623871
9,0.8084603522259968,0.8076959609335278,0.4439554855656338,0.44181698358153665,0.5045220864084993,0.5059524243726113,0.4439554855656338,0.44181698358153665,0.41805754104252096,0.4157623243947114,0.4650552272796631
10,0.8088626408010012,0.8081932315325433,0.4566906558853654,0.45555612541562107,0.5012364389767361,0.5016255836690859,0.4566906558853654,0.45555612541562107,0.4328742354601397,0.431470783442935,0.4703296720981598
