feature,server_shap
Tot sum,0.06657680854382957
Variance,0.05526238738332982
AVG,0.04975245582990673
Tot size,0.038117375436811145
fin_count,0.02182221741293716
Std,0.01288543707135988
rst_count,0.0099826806415725
UDP,0.008511576944144974
Time_To_Live,0.008063571236788558
syn_count,0.00756080382148917
syn_flag_number,0.005860313787888842
ack_count,0.004961020110173275
ack_flag_number,0.004647416838804677
Min,0.004512941020416577
Max,0.00339267029914071
Header_Length,0.002765737255420164
IAT,0.0027506193053541544
Number,0.002181370335146224
TCP,0.0013314343199532007
ICMP,0.0005644100143747806
Rate,0.000512191212781611
Protocol Type,0.0004761903140242241
fin_flag_number,9.535991538435562e-05
psh_flag_number,6.645467029161895e-05
HTTP,4.718074724193216e-05
HTTPS,2.577448262626268e-05
rst_flag_number,2.51612684695926e-05
LLC,1.613734240812377e-06
DNS,1.3157658388472514e-06
ARP,1.0332862037304534e-06
IPv,2.3326388582252786e-07
DHCP,4.669075452263722e-09
IGMP,0.0
ece_flag_number,0.0
cwr_flag_number,0.0
IRC,0.0
SSH,0.0
Telnet,0.0
SMTP,0.0
