round,test_loss,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1
0,2.095327854156494,0.21650388878955837,0.2166591237980299,0.08935543975449423,0.09159831875792997,0.10367095161513132,0.10436731150440282,0.08935543975449423,0.09159831875792997,0.07718706060594804,0.0779460163000462
1,0.5154632925987244,0.7744055068836045,0.7758259441157244,0.5277480561821574,0.5298216668101764,0.5123479119794732,0.5161054284626851,0.5277480561821574,0.5298216668101764,0.47688426609096524,0.4796576062139218
2,0.4579337239265442,0.8068344359020204,0.8073607223274499,0.533606380047315,0.5364285593613128,0.5515795989640809,0.5568501394967577,0.533606380047315,0.5364285593613128,0.5118195369177674,0.5157921183846766
3,0.44553184509277344,0.808208921866619,0.807869167546668,0.5546498597580726,0.5540953707792869,0.5712897514466803,0.573511297456384,0.5546498597580726,0.5540953707792869,0.5379221699618275,0.5382172567459417
4,0.4228948950767517,0.823188583944216,0.82281522206764,0.5598499831246487,0.5589599740371576,0.5907135416514117,0.590340461012714,0.5598499831246487,0.5589599740371576,0.5582454426464889,0.5572031697780164
5,0.4146127700805664,0.8212441891650277,0.8212507752392766,0.5648099894801556,0.5659459655359436,0.5962697200459101,0.5992631895341592,0.5648099894801556,0.5659459655359436,0.5653690190669663,0.5667699806677874
6,0.41008153557777405,0.8259822546039692,0.8255250674667695,0.5657930340628193,0.5670352379614502,0.6078636804049323,0.609747404513901,0.5657930340628193,0.5670352379614502,0.5701471519107274,0.5714142227188393
7,0.4170643985271454,0.8174280350438048,0.8171273403845187,0.5875662046501208,0.5845358376158504,0.5957908871049796,0.5933583859173651,0.5875662046501208,0.5845358376158504,0.5855251560056692,0.5825907811996807
8,0.4161219596862793,0.8161652959055963,0.8159428306430435,0.5843770949869507,0.5839744261386535,0.6007480125971341,0.6015252665506179,0.5843770949869507,0.5839744261386535,0.5806264975694448,0.5806246970667476
9,0.40520361065864563,0.8261163507956374,0.8261676081284187,0.5834794904925623,0.5819943794907733,0.6023386441694865,0.6008823293933707,0.5834794904925623,0.5819943794907733,0.5867144199388777,0.5849966784194471
10,0.4094448983669281,0.8189813159306276,0.8185185805997419,0.5911711749933086,0.5897320516913629,0.6076371227026339,0.6056337808892396,0.5911711749933086,0.5897320516913629,0.5895628943727381,0.5881619351386697
