round,test_loss,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1
0,2.095327854156494,0.21650388878955837,0.2166591237980299,0.08935543975449423,0.09159831875792997,0.10367095161513132,0.10436731150440282,0.08935543975449423,0.09159831875792997,0.07718706060594804,0.0779460163000462
1,0.5093007683753967,0.7762046307884856,0.7778485503723942,0.4639733895383551,0.4623436335755296,0.5647250213913785,0.555492835211359,0.4639733895383551,0.4623436335755296,0.3961177805858235,0.3943674250294414
2,0.48764607310295105,0.7978164670123369,0.7985998200886147,0.4762252338851499,0.47675824845755105,0.5721186604501509,0.5712963594617249,0.4762252338851499,0.47675824845755105,0.4268743961704785,0.4282302960605403
3,0.469592809677124,0.8025489451099589,0.8032372874726921,0.4606110503202435,0.46136459886954534,0.563828369720774,0.5644950774164151,0.4606110503202435,0.46136459886954534,0.40674562112063345,0.40899724567119017
4,0.449060320854187,0.805242043625961,0.8065114511920526,0.4884990714132182,0.48786079482511935,0.6280085661247875,0.6074772417169628,0.4884990714132182,0.48786079482511935,0.4573653417807274,0.456622975316649
5,0.4500082731246948,0.8060242714106919,0.8066567212546863,0.4869437661323274,0.4828085402502749,0.6368618722195064,0.5832828248541506,0.4869437661323274,0.4828085402502749,0.45558313561330394,0.44837284562901075
6,0.4473172128200531,0.806091319506526,0.8065617369829643,0.49899414031781364,0.49762820518936357,0.636410301755539,0.590421019963412,0.49899414031781364,0.49762820518936357,0.47569844597573235,0.4730793482374679
7,0.4353395104408264,0.8151204630788486,0.8147918447621761,0.5018403329508422,0.49914119007123603,0.6657036995098105,0.5989287441288418,0.5018403329508422,0.49914119007123603,0.48640563839855633,0.4812643611743703
8,0.42251017689704895,0.8210821562667621,0.8207199807796532,0.5030642290661568,0.5011795295466334,0.6831351286710391,0.6492897281921355,0.5030642290661568,0.5011795295466334,0.4955979260585333,0.4917039827755911
9,0.4135555028915405,0.8233003307706062,0.8228096347575387,0.5041320542005071,0.5024649398798277,0.689058983035855,0.6515432955581243,0.5041320542005071,0.5024649398798277,0.4992991349988764,0.4958664567349495
10,0.41596680879592896,0.8225739763990703,0.8218653793504194,0.5076800726967384,0.5075468651225405,0.6554595520914225,0.6406877107145889,0.5076800726967384,0.5075468651225405,0.5012061702065356,0.5007877653447963
