round,client_id,class_name,available,cosine_similarity,pearson_correlation,spearman_rank_correlation,mean_absolute_difference,top_server_feature,top_client_feature,top1_match,top5_overlap_count,top5_jaccard,top10_overlap_count,top10_jaccard
10,1,BENIGN,1,0.9776282402493015,0.975474233699837,0.9919028340080972,0.015467655718371782,Variance,Variance,1,4,0.6666666666666666,9,0.8181818181818182
10,2,BENIGN,1,0.9711601964843768,0.9677483498487763,0.9852226720647774,0.01543931574296125,Variance,Variance,1,4,0.6666666666666666,9,0.8181818181818182
10,3,BENIGN,1,0.9900232808960466,0.9882584646080875,0.9959514170040487,0.009098198318597797,Variance,Variance,1,5,1.0,9,0.8181818181818182
10,4,BENIGN,1,0.9813819392612301,0.9785583594808424,0.9941295546558705,0.012970994917787375,Variance,Variance,1,5,1.0,9,0.8181818181818182
10,5,BENIGN,1,0.8827732648613296,0.8600308338350143,0.989676113360324,0.028632766972719884,Variance,Std,0,5,1.0,9,0.8181818181818182
10,1,DDOS,1,0.9543618658548323,0.9426974957683952,0.9831983805668016,0.020863034955843622,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,2,DDOS,1,0.700462614459141,0.6170645258741647,0.9504048582995951,0.05200174634606686,Tot sum,Variance,0,2,0.25,8,0.6666666666666666
10,3,DDOS,1,0.7108529833984405,0.6387457938623272,0.9767206477732794,0.04376630166159955,Tot sum,Variance,0,4,0.6666666666666666,9,0.8181818181818182
10,4,DDOS,1,0.7915715457734687,0.7234266104875372,0.9591093117408906,0.04766487564406207,Tot sum,fin_count,0,3,0.42857142857142855,9,0.8181818181818182
10,5,DDOS,1,0.7206670747821196,0.6262244984297884,0.8878542510121459,0.061255052923796884,Tot sum,fin_count,0,2,0.25,8,0.6666666666666666
10,1,DOS,1,0.9560932235984108,0.9479984589456222,0.9866396761133602,0.017890821037193968,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,2,DOS,1,0.8992951970219539,0.875774664221835,0.9410931174089069,0.032781269667736715,Tot sum,Tot sum,1,4,0.6666666666666666,8,0.6666666666666666
10,3,DOS,1,0.9691735365687056,0.9625981932010259,0.9763157894736842,0.015142855903774496,Tot sum,Tot sum,1,5,1.0,9,0.8181818181818182
