round,source,class_id,class_name,feature_id,feature_name,normalized_mean_abs_shap,feature_rank_within_class
10,server,0,BENIGN,0,Header_Length,0.0016762330466493739,18
10,server,0,BENIGN,1,Protocol Type,0.0003115167437227888,20
10,server,0,BENIGN,2,Time_To_Live,0.1390889735030692,5
10,server,0,BENIGN,3,Rate,0.00015242766777406904,23
10,server,0,BENIGN,4,fin_flag_number,0.00013707398280803234,25
10,server,0,BENIGN,5,syn_flag_number,0.02772201016467106,11
10,server,0,BENIGN,6,rst_flag_number,0.0002442742641016459,22
10,server,0,BENIGN,7,psh_flag_number,0.0002820129300565361,21
10,server,0,BENIGN,8,ack_flag_number,0.049058857761195625,9
10,server,0,BENIGN,9,ece_flag_number,0.0,34
10,server,0,BENIGN,10,cwr_flag_number,0.0,35
10,server,0,BENIGN,11,ack_count,0.00436609748587365,17
10,server,0,BENIGN,12,syn_count,0.015086724456046401,14
10,server,0,BENIGN,13,fin_count,0.0046658809662364735,16
10,server,0,BENIGN,14,rst_count,0.010279952073426019,15
10,server,0,BENIGN,15,HTTP,4.193049659330178e-05,27
10,server,0,BENIGN,16,HTTPS,0.00010387021134613678,26
10,server,0,BENIGN,17,DNS,4.257934994915412e-06,31
10,server,0,BENIGN,18,Telnet,0.0,36
10,server,0,BENIGN,19,SMTP,0.0,37
10,server,0,BENIGN,20,SSH,9.189009532842957e-08,32
10,server,0,BENIGN,21,IRC,0.0,38
10,server,0,BENIGN,22,TCP,0.0003373685265732504,19
10,server,0,BENIGN,23,UDP,0.029590509490379172,10
10,server,0,BENIGN,24,DHCP,2.4943453263247304e-08,33
10,server,0,BENIGN,25,ARP,1.5992648527999324e-05,29
10,server,0,BENIGN,26,ICMP,0.0001453478101663843,24
10,server,0,BENIGN,27,IGMP,0.0,39
10,server,0,BENIGN,28,IPv,2.1309091932718252e-05,28
10,server,0,BENIGN,29,LLC,9.610597869198367e-06,30
10,server,0,BENIGN,30,Tot sum,0.3934440417390601,3
10,server,0,BENIGN,31,Min,0.018934294903986886,13
10,server,0,BENIGN,32,Max,0.0852028727154772,8
10,server,0,BENIGN,33,AVG,0.25200271694952114,4
10,server,0,BENIGN,34,Std,0.49494520870528436,2
10,server,0,BENIGN,35,Tot size,0.10371016046720058,6
10,server,0,BENIGN,36,IAT,0.08643754699386622,7
10,server,0,BENIGN,37,Number,0.022379737018787975,12
10,server,0,BENIGN,38,Variance,0.6975711734524678,1
10,server,1,DDOS,0,Header_Length,0.04256898106416009,13
10,server,1,DDOS,1,Protocol Type,0.015630424577841716,19
10,server,1,DDOS,2,Time_To_Live,0.005049941606686809,20
10,server,1,DDOS,3,Rate,0.004593966886041193,22
10,server,1,DDOS,4,fin_flag_number,0.0006544453238764532,26
10,server,1,DDOS,5,syn_flag_number,0.17433438221924266,7
10,server,1,DDOS,6,rst_flag_number,0.0030811300339950326,23
10,server,1,DDOS,7,psh_flag_number,0.020927754810962585,17
10,server,1,DDOS,8,ack_flag_number,0.12128990896685611,9
10,server,1,DDOS,9,ece_flag_number,0.0,33
10,server,1,DDOS,10,cwr_flag_number,0.0,34
10,server,1,DDOS,11,ack_count,0.06318280503171085,10
10,server,1,DDOS,12,syn_count,0.05794509735216554,11
10,server,1,DDOS,13,fin_count,0.202794688442861,5
10,server,1,DDOS,14,rst_count,0.13706484284844328,8
10,server,1,DDOS,15,HTTP,0.000849741186438973,24
10,server,1,DDOS,16,HTTPS,5.2493251072634986e-05,27
10,server,1,DDOS,17,DNS,2.3605487210610145e-05,28
10,server,1,DDOS,18,Telnet,0.0,35
10,server,1,DDOS,19,SMTP,0.0,36
10,server,1,DDOS,20,SSH,0.0,37
10,server,1,DDOS,21,IRC,0.0,38
10,server,1,DDOS,22,TCP,0.016044606515121237,18
10,server,1,DDOS,23,UDP,0.32699173615942045,4
10,server,1,DDOS,24,DHCP,2.482599211947623e-07,32
10,server,1,DDOS,25,ARP,2.6409657979127455e-06,30
10,server,1,DDOS,26,ICMP,0.03230596625040092,16
10,server,1,DDOS,27,IGMP,0.0,39
10,server,1,DDOS,28,IPv,9.030277549298536e-06,29
10,server,1,DDOS,29,LLC,2.155316916343869e-06,31
10,server,1,DDOS,30,Tot sum,0.6850995946522994,1
10,server,1,DDOS,31,Min,0.03363393333138168,15
10,server,1,DDOS,32,Max,0.037887515086593444,14
10,server,1,DDOS,33,AVG,0.37433115617476115,2
10,server,1,DDOS,34,Std,0.055345355998362294,12
10,server,1,DDOS,35,Tot size,0.36075937370430955,3
10,server,1,DDOS,36,IAT,0.004922022368988703,21
10,server,1,DDOS,37,Number,0.0007843236718970458,25
10,server,1,DDOS,38,Variance,0.1776809501663089,6
10,server,2,DOS,0,Header_Length,0.018587974471956287,15
10,server,2,DOS,1,Protocol Type,0.009695012754173702,18
10,server,2,DOS,2,Time_To_Live,0.011121937470323046,17
10,server,2,DOS,3,Rate,0.002062093743522377,22
10,server,2,DOS,4,fin_flag_number,0.0002916514047146508,27
10,server,2,DOS,5,syn_flag_number,0.09872745286371278,6
10,server,2,DOS,6,rst_flag_number,0.0012480576114825407,23
10,server,2,DOS,7,psh_flag_number,0.009428761743462476,19
10,server,2,DOS,8,ack_flag_number,0.0773515856258004,9
10,server,2,DOS,9,ece_flag_number,0.0,33
10,server,2,DOS,10,cwr_flag_number,0.0,34
10,server,2,DOS,11,ack_count,0.031919410343400095,14
10,server,2,DOS,12,syn_count,0.05408573946923058,12
10,server,2,DOS,13,fin_count,0.08589693914462669,7
10,server,2,DOS,14,rst_count,0.05799492222701932,11
10,server,2,DOS,15,HTTP,0.000538546450917157,26
10,server,2,DOS,16,HTTPS,0.0006064458300991355,24
10,server,2,DOS,17,DNS,1.753496581923403e-05,28
10,server,2,DOS,18,Telnet,0.0,35
10,server,2,DOS,19,SMTP,0.0,36
10,server,2,DOS,20,SSH,0.0,37
10,server,2,DOS,21,IRC,0.0,38
10,server,2,DOS,22,TCP,0.00908848341048708,20
10,server,2,DOS,23,UDP,0.3754161966929047,3
10,server,2,DOS,24,DHCP,2.3426735768453562e-07,32
10,server,2,DOS,25,ARP,2.011389839351724e-06,30
10,server,2,DOS,26,ICMP,0.012789848338233049,16
10,server,2,DOS,27,IGMP,0.0,39
10,server,2,DOS,28,IPv,4.1627669130647446e-06,29
10,server,2,DOS,29,LLC,1.7090988454201574e-06,31
10,server,2,DOS,30,Tot sum,0.6869051078238431,1
10,server,2,DOS,31,Min,0.08356270244671758,8
10,server,2,DOS,32,Max,0.04790526228660142,13
10,server,2,DOS,33,AVG,0.503722358614299,2
10,server,2,DOS,34,Std,0.07288226938883807,10
10,server,2,DOS,35,Tot size,0.2719725521435622,4
10,server,2,DOS,36,IAT,0.0024234228171099185,21
10,server,2,DOS,37,Number,0.0005671354856240149,25
10,server,2,DOS,38,Variance,0.11662796146537899,5
10,server,3,MIRAI,0,Header_Length,0.00029681197418873577,17
10,server,3,MIRAI,1,Protocol Type,0.001663677700818157,13
10,server,3,MIRAI,2,Time_To_Live,3.294769109022112e-05,22
10,server,3,MIRAI,3,Rate,5.654807085294399e-05,21
10,server,3,MIRAI,4,fin_flag_number,2.7635991909036707e-05,23
10,server,3,MIRAI,5,syn_flag_number,0.00849902482505447,9
10,server,3,MIRAI,6,rst_flag_number,6.963403965518219e-05,20
10,server,3,MIRAI,7,psh_flag_number,0.00014687514201195176,19
10,server,3,MIRAI,8,ack_flag_number,0.0013442484198518728,15
10,server,3,MIRAI,9,ece_flag_number,0.0,33
10,server,3,MIRAI,10,cwr_flag_number,0.0,34
10,server,3,MIRAI,11,ack_count,0.002941362519587415,11
10,server,3,MIRAI,12,syn_count,0.007023579032472383,10
10,server,3,MIRAI,13,fin_count,0.001418992880264478,14
10,server,3,MIRAI,14,rst_count,0.0028118274434248787,12
10,server,3,MIRAI,15,HTTP,1.1274037783850219e-05,26
10,server,3,MIRAI,16,HTTPS,1.471805817414332e-07,30
10,server,3,MIRAI,17,DNS,7.961596789993843e-08,31
10,server,3,MIRAI,18,Telnet,0.0,35
10,server,3,MIRAI,19,SMTP,0.0,36
10,server,3,MIRAI,20,SSH,0.0,37
10,server,3,MIRAI,21,IRC,0.0,38
10,server,3,MIRAI,22,TCP,0.0001685375154409898,18
10,server,3,MIRAI,23,UDP,0.02684739118672598,8
10,server,3,MIRAI,24,DHCP,4.9279295913437735e-09,32
10,server,3,MIRAI,25,ARP,1.5446968566458846e-07,29
10,server,3,MIRAI,26,ICMP,2.763101536605502e-05,24
10,server,3,MIRAI,27,IGMP,0.0,39
10,server,3,MIRAI,28,IPv,1.8273228870468113e-07,28
10,server,3,MIRAI,29,LLC,3.1830866493434756e-07,27
10,server,3,MIRAI,30,Tot sum,0.754737815691836,1
10,server,3,MIRAI,31,Min,0.044165996823858626,5
10,server,3,MIRAI,32,Max,0.04112769890209537,6
10,server,3,MIRAI,33,AVG,0.5197976219374728,2
10,server,3,MIRAI,34,Std,0.033247790842596686,7
10,server,3,MIRAI,35,Tot size,0.38679430777025875,3
10,server,3,MIRAI,36,IAT,0.00034993718402734846,16
10,server,3,MIRAI,37,Number,1.2233674759206178e-05,25
10,server,3,MIRAI,38,Variance,0.0704139365472559,4
