round,source,class_id,class_name,feature_id,feature_name,normalized_mean_abs_shap,feature_rank_within_class
10,server,0,BENIGN,0,Header_Length,0.0017468098354167221,18
10,server,0,BENIGN,1,Protocol Type,7.17224333034101e-05,24
10,server,0,BENIGN,2,Time_To_Live,0.16894377952631665,6
10,server,0,BENIGN,3,Rate,0.00040640618118276074,19
10,server,0,BENIGN,4,fin_flag_number,9.172865077303722e-05,23
10,server,0,BENIGN,5,syn_flag_number,0.00632812188148711,16
10,server,0,BENIGN,6,rst_flag_number,4.0518404816111216e-05,26
10,server,0,BENIGN,7,psh_flag_number,5.445444259281796e-05,25
10,server,0,BENIGN,8,ack_flag_number,0.026069304137865196,10
10,server,0,BENIGN,9,ece_flag_number,0.0,34
10,server,0,BENIGN,10,cwr_flag_number,0.0,35
10,server,0,BENIGN,11,ack_count,0.0025176444855165886,17
10,server,0,BENIGN,12,syn_count,0.017852042286115487,12
10,server,0,BENIGN,13,fin_count,0.009342788505862497,14
10,server,0,BENIGN,14,rst_count,0.006923252580107061,15
10,server,0,BENIGN,15,HTTP,2.7112794522786075e-05,27
10,server,0,BENIGN,16,HTTPS,0.00016573905516353848,22
10,server,0,BENIGN,17,DNS,5.673749071331273e-06,29
10,server,0,BENIGN,18,Telnet,0.0,36
10,server,0,BENIGN,19,SMTP,0.0,37
10,server,0,BENIGN,20,SSH,3.238546489582772e-08,33
10,server,0,BENIGN,21,IRC,0.0,38
10,server,0,BENIGN,22,TCP,0.00029743497546572286,20
10,server,0,BENIGN,23,UDP,0.013207561853596412,13
10,server,0,BENIGN,24,DHCP,3.54348922933387e-08,32
10,server,0,BENIGN,25,ARP,2.6380250640653124e-06,30
10,server,0,BENIGN,26,ICMP,0.00019198051914380066,21
10,server,0,BENIGN,27,IGMP,0.0,39
10,server,0,BENIGN,28,IPv,1.3163913367800506e-05,28
10,server,0,BENIGN,29,LLC,1.691403073642646e-06,31
10,server,0,BENIGN,30,Tot sum,0.6960507232275761,1
10,server,0,BENIGN,31,Min,0.02369651608304205,11
10,server,0,BENIGN,32,Max,0.07821527647440979,8
10,server,0,BENIGN,33,AVG,0.3605173978922664,3
10,server,0,BENIGN,34,Std,0.3216116683836772,4
10,server,0,BENIGN,35,Tot size,0.22043614008514728,5
10,server,0,BENIGN,36,IAT,0.12723227105146323,7
10,server,0,BENIGN,37,Number,0.060750575112817076,9
