round,source,client_id,class_name,rank,feature_name,normalized_mean_abs_shap
10,server,,BENIGN,1,Tot sum,0.6960507232275761
10,server,,BENIGN,2,Variance,0.4207812571004994
10,server,,BENIGN,3,AVG,0.3605173978922664
10,server,,BENIGN,4,Std,0.3216116683836772
10,server,,BENIGN,5,Tot size,0.22043614008514728
10,server,,BENIGN,6,Time_To_Live,0.16894377952631665
10,server,,BENIGN,7,IAT,0.12723227105146323
10,server,,BENIGN,8,Max,0.07821527647440979
10,server,,BENIGN,9,Number,0.060750575112817076
10,server,,BENIGN,10,ack_flag_number,0.026069304137865196
10,client_1,1,BENIGN,1,Variance,0.8221945200878259
10,client_1,1,BENIGN,2,Tot sum,0.45575740126136116
10,client_1,1,BENIGN,3,Std,0.1830676653553919
10,client_1,1,BENIGN,4,Time_To_Live,0.16879738936585267
10,client_1,1,BENIGN,5,Tot size,0.16496439936574256
10,client_1,1,BENIGN,6,AVG,0.1424028743579309
10,client_1,1,BENIGN,7,IAT,0.04851690705121675
10,client_1,1,BENIGN,8,Number,0.04624208061574891
10,client_1,1,BENIGN,9,Max,0.03153803074301692
10,client_1,1,BENIGN,10,ack_flag_number,0.03129658620683805
10,client_2,2,BENIGN,1,Variance,0.7981083556611963
10,client_2,2,BENIGN,2,AVG,0.34808850654382595
10,client_2,2,BENIGN,3,Std,0.31513029472065873
10,client_2,2,BENIGN,4,Tot sum,0.28076168023500986
10,client_2,2,BENIGN,5,Tot size,0.2418386107265275
10,client_2,2,BENIGN,6,Max,0.06376309120725557
10,client_2,2,BENIGN,7,Number,0.025850580749835574
10,client_2,2,BENIGN,8,IAT,0.01778938452795647
10,client_2,2,BENIGN,9,ack_flag_number,0.009499267198650579
10,client_2,2,BENIGN,10,Time_To_Live,0.0058497791963335625
10,client_3,3,BENIGN,1,Variance,0.7424584672277242
10,client_3,3,BENIGN,2,Tot sum,0.47898436889202783
10,client_3,3,BENIGN,3,Time_To_Live,0.3496120193458693
10,client_3,3,BENIGN,4,Tot size,0.23052575077795684
10,client_3,3,BENIGN,5,Std,0.13277724644302177
10,client_3,3,BENIGN,6,IAT,0.11735135802268767
10,client_3,3,BENIGN,7,AVG,0.08858522691096164
10,client_3,3,BENIGN,8,Number,0.06123164300801779
10,client_3,3,BENIGN,9,ack_flag_number,0.01917367331671633
10,client_3,3,BENIGN,10,Max,0.018221974050930338
10,client_4,4,BENIGN,1,Time_To_Live,0.624865028738871
10,client_4,4,BENIGN,2,Variance,0.539333544199805
10,client_4,4,BENIGN,3,Tot sum,0.5258143203135702
10,client_4,4,BENIGN,4,Number,0.1595974615663513
10,client_4,4,BENIGN,5,Std,0.1237366336056908
10,client_4,4,BENIGN,6,Max,0.025009581522995004
10,client_4,4,BENIGN,7,AVG,0.012346248381435228
10,client_4,4,BENIGN,8,Tot size,0.012273453105627621
10,client_4,4,BENIGN,9,IAT,0.010366900494123187
10,client_4,4,BENIGN,10,syn_count,0.009649231483109732
10,server,,DDOS,1,Tot size,0.5542054754484252
10,server,,DDOS,2,AVG,0.502004152649018
10,server,,DDOS,3,Tot sum,0.44042332106979504
10,server,,DDOS,4,Variance,0.3358052766973642
10,server,,DDOS,5,Std,0.23789472197442205
10,server,,DDOS,6,syn_flag_number,0.17447179024905196
10,server,,DDOS,7,UDP,0.11230320442759636
10,server,,DDOS,8,fin_count,0.10654063704335641
10,server,,DDOS,9,syn_count,0.09217228799059674
10,server,,DDOS,10,Max,0.06617354453024267
10,client_1,1,DDOS,1,Variance,0.49435642552706516
10,client_1,1,DDOS,2,Tot sum,0.45148597038205995
10,client_1,1,DDOS,3,fin_count,0.4182671643706277
10,client_1,1,DDOS,4,syn_flag_number,0.3880421326207773
10,client_1,1,DDOS,5,syn_count,0.24143459807164966
10,client_1,1,DDOS,6,AVG,0.18454043252402094
10,client_1,1,DDOS,7,UDP,0.17488165304668166
10,client_1,1,DDOS,8,Tot size,0.17140414548601077
10,client_1,1,DDOS,9,ack_flag_number,0.13514179498282483
10,client_1,1,DDOS,10,rst_count,0.12055236720392845
10,client_2,2,DDOS,1,Tot sum,0.5838196112372603
10,client_2,2,DDOS,2,Variance,0.5534885170265442
10,client_2,2,DDOS,3,fin_count,0.35621545872602167
10,client_2,2,DDOS,4,syn_flag_number,0.25931865084069905
10,client_2,2,DDOS,5,syn_count,0.20194371697660776
10,client_2,2,DDOS,6,UDP,0.1926085613219566
10,client_2,2,DDOS,7,Header_Length,0.14467077962171182
10,client_2,2,DDOS,8,ack_flag_number,0.12233088879283883
10,client_2,2,DDOS,9,rst_count,0.12224465683787272
10,client_2,2,DDOS,10,ICMP,0.09725427905557
10,client_3,3,DDOS,1,Tot sum,0.9554843330202777
10,client_3,3,DDOS,2,Variance,0.16686721022470738
10,client_3,3,DDOS,3,Tot size,0.15928986984755125
10,client_3,3,DDOS,4,AVG,0.12305582604019581
10,client_3,3,DDOS,5,syn_flag_number,0.08312078541558558
10,client_3,3,DDOS,6,fin_count,0.07250511008947745
10,client_3,3,DDOS,7,UDP,0.055942013759062506
10,client_3,3,DDOS,8,syn_count,0.03260660800512545
10,client_3,3,DDOS,9,rst_count,0.027181955713508246
10,client_3,3,DDOS,10,ack_flag_number,0.02076781591302101
10,client_4,4,DDOS,1,Tot sum,0.5879536924994463
10,client_4,4,DDOS,2,Variance,0.5714165637345029
10,client_4,4,DDOS,3,syn_flag_number,0.3765539496671754
10,client_4,4,DDOS,4,fin_count,0.2093034146536246
10,client_4,4,DDOS,5,syn_count,0.19631147365273285
10,client_4,4,DDOS,6,UDP,0.15056267439463675
10,client_4,4,DDOS,7,rst_count,0.12888786308034353
10,client_4,4,DDOS,8,Std,0.11857249084034673
10,client_4,4,DDOS,9,ack_flag_number,0.1177165058436748
10,client_4,4,DDOS,10,Max,0.10247413100696784
10,client_5,5,DDOS,1,Tot sum,0.5828434799969159
10,client_5,5,DDOS,2,AVG,0.5370475400020044
10,client_5,5,DDOS,3,Tot size,0.4478186365497114
10,client_5,5,DDOS,4,Variance,0.37185265083159935
10,client_5,5,DDOS,5,Std,0.15982623499721904
10,client_5,5,DDOS,6,Max,0.05369488629858856
10,client_5,5,DDOS,7,syn_flag_number,0.042974256460161876
10,client_5,5,DDOS,8,syn_count,0.030952877298227904
10,client_5,5,DDOS,9,fin_count,0.028905307661658382
10,client_5,5,DDOS,10,Number,0.020474919744211565
