round,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_f1::BENIGN,val_f1::DDOS,val_f1::DOS,val_f1::MIRAI,val_f1::RECON,val_f1::SPOOFING,val_f1::WEB,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_f1::BENIGN,test_f1::DDOS,test_f1::DOS,test_f1::MIRAI,test_f1::RECON,test_f1::SPOOFING,test_f1::WEB
1,1.1190392971038818,0.7322266672626497,0.21703558448137894,0.29715549642074973,0.21703558448137894,0.21889169747500675,0.33874361286444243,0.8493343275443536,0.0,0.0,0.3013286537979443,0.04283528811830699,0.0,,,,,,,,,,,,,
2,0.9383798241615295,0.7337967101734311,0.22634943254187592,0.2240395464953333,0.22634943254187592,0.21948969490329207,0.35555555555555557,0.8522552389363617,0.0,0.0,0.3286170698311273,0.0,0.0,,,,,,,,,,,,,
3,0.8416403532028198,0.7331653406043268,0.22304495675261643,0.26609254193708776,0.22304495675261643,0.2142448985420315,0.30780917654208445,0.8521030045745414,6.500048750365628e-05,0.0,0.339737108190091,0.0,0.0,,,,,,,,,,,,,
4,0.7419588565826416,0.7367468263901306,0.2306225705052339,0.3676334415951962,0.2306225705052339,0.20669081642236994,0.49573908469226724,0.8545712181217032,6.499626271489389e-05,0.0003996003996003996,0.09606081548030408,0.0,0.0,,,,,,,,,,,,,
5,0.7419512867927551,0.735450563204005,0.22398728078633168,0.3553077667686936,0.22398728078633168,0.20754130745567737,0.4675531310376179,0.853158521264002,6.499626271489389e-05,0.0003996003996003996,0.13161290322580646,0.0,0.0,,,,,,,,,,,,,
6,0.7221274375915527,0.7378307706061148,0.23777557441907812,0.38251755984694896,0.23777557441907812,0.21241261847765333,0.5165983606557377,0.8553594689130305,6.499415052645263e-05,0.0005993407252022775,0.11426616489907629,0.0,0.0,,,,,,,,,,,,,
7,0.7139168977737427,0.7367412390488111,0.2379836011578174,0.33119290372130206,0.2379836011578174,0.2166665078531034,0.46828007518796994,0.8585574673546931,6.499415052645263e-05,0.0005993407252022775,0.18916367755333208,0.0,0.0,,,,,,,,,,,,,
8,0.7087409496307373,0.7374284820311103,0.2513695295817522,0.36972955565734145,0.2513695295817522,0.22736718116042298,0.4412387506617258,0.8595215393661941,6.499415052645263e-05,0.0005993407252022775,0.2880145830168616,0.002131060202450719,0.0,,,,,,,,,,,,,
9,0.6783066987991333,0.7465302610405864,0.2895128961205513,0.4029795187170258,0.2895128961205513,0.22975786436626075,0.6726682887266829,0.8622582462080941,6.499203847528678e-05,0.0005993407252022775,0.07271418286537078,0.0,0.0,,,,,,,,,,,,,
10,0.7096925377845764,0.7364506973001966,0.23954579865932207,0.3440832955586056,0.23954579865932207,0.22358268957648317,0.44811916182782124,0.856392891307442,6.499415052645263e-05,0.0005993407252022775,0.25990243902439025,0.0,0.0,0.7102817296981812,0.7359604865429636,0.23555855065157058,0.3645860205847921,0.23555855065157058,0.2198669522119651,0.43775201612903225,0.8562105778713209,6.498148027812073e-05,0.0001998201618543311,0.24484126984126983,0.0,0.0
