round,client_id,class_name,available,cosine_similarity,pearson_correlation,spearman_rank_correlation,mean_absolute_difference,top_server_feature,top_client_feature,top1_match,top5_overlap_count,top5_jaccard,top10_overlap_count,top10_jaccard
10,1,BENIGN,1,0.8242142537660337,0.7978840588250381,0.9941295546558705,0.034911807361034344,Tot sum,Variance,0.0,4.0,0.6666666666666666,10.0,1.0
10,2,BENIGN,1,0.8440896323599367,0.8206985659139816,0.9799595141700406,0.030890081938529355,Tot sum,Variance,0.0,5.0,1.0,10.0,1.0
10,3,BENIGN,1,0.8282488942862922,0.7986094187088502,0.9836032388663969,0.036050298306256494,Tot sum,Variance,0.0,4.0,0.6666666666666666,10.0,1.0
10,4,BENIGN,1,0.7156377807045755,0.6726258040147051,0.961336032388664,0.0500229374335165,Tot sum,Time_To_Live,0.0,3.0,0.42857142857142855,9.0,0.8181818181818182
10,5,BENIGN,0,,,,,Tot sum,,,,,,
10,1,DDOS,1,0.7705953609702492,0.6956273540682621,0.9706477732793523,0.05410464985214327,Tot size,Variance,0.0,2.0,0.25,8.0,0.6666666666666666
10,2,DDOS,1,0.6632492631517387,0.5613883154123027,0.8607287449392713,0.06511635051705902,Tot size,Tot sum,0.0,2.0,0.25,6.0,0.42857142857142855
10,3,DDOS,1,0.6745238243071818,0.6383298268686085,0.93582995951417,0.05512907473028187,Tot size,Tot sum,0.0,4.0,0.6666666666666666,8.0,0.6666666666666666
10,4,DDOS,1,0.7039990500482944,0.6187029800360792,0.8398785425101215,0.055967231037239246,Tot size,Tot sum,0.0,2.0,0.25,8.0,0.6666666666666666
10,5,DDOS,1,0.9591376994260796,0.9566198612392987,0.9744939271255061,0.025923137709472625,Tot size,Tot sum,0.0,5.0,1.0,9.0,0.8181818181818182
10,1,DOS,1,0.8358813276584964,0.7918735753217767,0.9738866396761134,0.04345664908335572,Tot size,Tot sum,0.0,3.0,0.42857142857142855,9.0,0.8181818181818182
10,2,DOS,1,0.6096159462952527,0.5390662564433824,0.9461538461538462,0.050096249111962726,Tot size,Variance,0.0,4.0,0.6666666666666666,8.0,0.6666666666666666
10,3,DOS,1,0.8940398856374536,0.8700778589897923,0.9661943319838058,0.03146862943676517,Tot size,Tot sum,0.0,3.0,0.42857142857142855,10.0,1.0
10,4,DOS,0,,,,,Tot size,,,,,,
10,5,DOS,0,,,,,Tot size,,,,,,
10,1,MIRAI,1,0.9954769880657822,0.9950733847055384,0.9678137651821863,0.004732527803789543,Tot sum,Tot sum,1.0,5.0,1.0,10.0,1.0
10,2,MIRAI,0,,,,,Tot sum,,,,,,
10,3,MIRAI,1,0.9930145785701547,0.9924373456504716,0.987246963562753,0.006444784266322101,Tot sum,Tot sum,1.0,5.0,1.0,10.0,1.0
10,4,MIRAI,0,,,,,Tot sum,,,,,,
10,5,MIRAI,0,,,,,Tot sum,,,,,,
10,1,RECON,1,0.8754848438763781,0.8558157522377915,0.9789473684210527,0.031716647036692816,Variance,IAT,0.0,5.0,1.0,9.0,0.8181818181818182
10,2,RECON,0,,,,,Variance,,,,,,
10,3,RECON,0,,,,,Variance,,,,,,
10,4,RECON,1,0.9321532503895132,0.9213073697683198,0.9831983805668016,0.020820987336181252,Variance,Tot sum,0.0,4.0,0.6666666666666666,10.0,1.0
10,5,RECON,1,0.9098887899377937,0.8948588640222529,0.9933198380566802,0.02792590105471004,Variance,Tot sum,0.0,5.0,1.0,9.0,0.8181818181818182
10,1,SPOOFING,1,0.9904705296376,0.988891612890427,0.9906882591093118,0.00968790545019523,Variance,Tot size,0.0,5.0,1.0,9.0,0.8181818181818182
10,2,SPOOFING,0,,,,,Variance,,,,,,
10,3,SPOOFING,1,0.885764251672323,0.8679314590506039,0.986842105263158,0.027445964809103687,Variance,Tot sum,0.0,5.0,1.0,9.0,0.8181818181818182
10,4,SPOOFING,0,,,,,Variance,,,,,,
10,5,SPOOFING,1,0.8193913824285168,0.8022969437838481,0.961336032388664,0.034852617596741915,Variance,Variance,1.0,4.0,0.6666666666666666,8.0,0.6666666666666666
10,1,WEB,0,,,,,Tot sum,,,,,,
10,2,WEB,0,,,,,Tot sum,,,,,,
10,3,WEB,1,0.9164101591343861,0.9034026741324346,0.9817813765182186,0.022098880432205575,Tot sum,IAT,0.0,5.0,1.0,9.0,0.8181818181818182
10,4,WEB,0,,,,,Tot sum,,,,,,
10,5,WEB,0,,,,,Tot sum,,,,,,
