round,source,class_id,class_name,feature_id,feature_name,normalized_mean_abs_shap,feature_rank_within_class
10,server,0,BENIGN,0,Header_Length,0.0014995702629098345,18
10,server,0,BENIGN,1,Protocol Type,5.661100030196877e-05,24
10,server,0,BENIGN,2,Time_To_Live,0.15560282460347208,6
10,server,0,BENIGN,3,Rate,0.00035708816266318406,19
10,server,0,BENIGN,4,fin_flag_number,8.372747331156894e-05,23
10,server,0,BENIGN,5,syn_flag_number,0.005628538500475683,16
10,server,0,BENIGN,6,rst_flag_number,3.593927613163114e-05,26
10,server,0,BENIGN,7,psh_flag_number,5.6606723518831876e-05,25
10,server,0,BENIGN,8,ack_flag_number,0.026383774867262982,10
10,server,0,BENIGN,9,ece_flag_number,0.0,34
10,server,0,BENIGN,10,cwr_flag_number,0.0,35
10,server,0,BENIGN,11,ack_count,0.002300353777652064,17
10,server,0,BENIGN,12,syn_count,0.016244447332371216,12
10,server,0,BENIGN,13,fin_count,0.008515536227440914,14
10,server,0,BENIGN,14,rst_count,0.0061129636085170275,15
10,server,0,BENIGN,15,HTTP,2.4077270784735506e-05,27
10,server,0,BENIGN,16,HTTPS,0.0001549465062356329,22
10,server,0,BENIGN,17,DNS,4.246174514857202e-06,29
10,server,0,BENIGN,18,Telnet,0.0,36
10,server,0,BENIGN,19,SMTP,0.0,37
10,server,0,BENIGN,20,SSH,4.4922770839119017e-08,33
10,server,0,BENIGN,21,IRC,0.0,38
10,server,0,BENIGN,22,TCP,0.00026875620697950535,20
10,server,0,BENIGN,23,UDP,0.011870163271980374,13
10,server,0,BENIGN,24,DHCP,4.9830889492575896e-08,32
10,server,0,BENIGN,25,ARP,2.820018527471441e-06,30
10,server,0,BENIGN,26,ICMP,0.00016040353128702578,21
10,server,0,BENIGN,27,IGMP,0.0,39
10,server,0,BENIGN,28,IPv,1.0447528432439806e-05,28
10,server,0,BENIGN,29,LLC,2.660515562323992e-06,31
10,server,0,BENIGN,30,Tot sum,0.649753820018192,1
10,server,0,BENIGN,31,Min,0.02477800903231294,11
10,server,0,BENIGN,32,Max,0.08588161650917689,8
10,server,0,BENIGN,33,AVG,0.41865456401465395,2
10,server,0,BENIGN,34,Std,0.35317072648962855,4
10,server,0,BENIGN,35,Tot size,0.2693839956775295,5
10,server,0,BENIGN,36,IAT,0.10871288159837901,7
10,server,0,BENIGN,37,Number,0.0543316743839234,9
10,server,0,BENIGN,38,Variance,0.3962682338371181,3
10,server,1,DDOS,0,Header_Length,0.0322502639636441,13
10,server,1,DDOS,1,Protocol Type,0.009796301238269777,21
10,server,1,DDOS,2,Time_To_Live,0.010591719160104861,20
10,server,1,DDOS,3,Rate,0.006439189637272134,23
10,server,1,DDOS,4,fin_flag_number,0.0004870462961663164,26
10,server,1,DDOS,5,syn_flag_number,0.18159657028860798,6
10,server,1,DDOS,6,rst_flag_number,0.0005146178641648513,25
10,server,1,DDOS,7,psh_flag_number,0.009425232084645536,22
10,server,1,DDOS,8,ack_flag_number,0.0557183281315613,12
