round,client_id,class_name,available,cosine_similarity,pearson_correlation,spearman_rank_correlation,mean_absolute_difference,top_server_feature,top_client_feature,top1_match,top5_overlap_count,top5_jaccard,top10_overlap_count,top10_jaccard
10,1,BENIGN,1,0.8578346762852254,0.8372234843010136,0.995344129554656,0.030929274298155285,Tot sum,Variance,0.0,4.0,0.6666666666666666,10.0,1.0
10,2,BENIGN,1,0.8101554668563811,0.782321832381676,0.9777327935222673,0.03277755003941106,Tot sum,Variance,0.0,5.0,1.0,10.0,1.0
10,3,BENIGN,1,0.8558057233866214,0.8317329951445976,0.9836032388663969,0.033701313538746294,Tot sum,Variance,0.0,4.0,0.6666666666666666,10.0,1.0
10,4,BENIGN,1,0.7704118769664844,0.7368871826670543,0.9663967611336033,0.04605761886645917,Tot sum,Time_To_Live,0.0,3.0,0.42857142857142855,9.0,0.8181818181818182
10,5,BENIGN,0,,,,,Tot sum,,,,,,
10,1,DDOS,1,0.7613686162104167,0.6836672768833756,0.9698380566801619,0.055671200960094286,Tot size,Variance,0.0,2.0,0.25,8.0,0.6666666666666666
10,2,DDOS,1,0.6580247113413444,0.5554893318917209,0.8587044534412955,0.06597749504129179,Tot size,Tot sum,0.0,2.0,0.25,6.0,0.42857142857142855
10,3,DDOS,1,0.6665080975697889,0.6283784118417063,0.93582995951417,0.0554283813103509,Tot size,Tot sum,0.0,4.0,0.6666666666666666,8.0,0.6666666666666666
10,4,DDOS,1,0.695437893635632,0.6052654588251746,0.8384615384615386,0.05921526638153068,Tot size,Tot sum,0.0,2.0,0.25,8.0,0.6666666666666666
10,5,DDOS,1,0.9568932560596972,0.9537246530261688,0.974089068825911,0.026103091503102565,Tot size,Tot sum,0.0,5.0,1.0,9.0,0.8181818181818182
10,1,DOS,1,0.8255588004880623,0.780383699985943,0.9698380566801619,0.04474082121409146,Tot sum,Tot sum,1.0,3.0,0.42857142857142855,8.0,0.6666666666666666
10,2,DOS,1,0.5957801615073302,0.5245848243799165,0.9406882591093119,0.05081351635427193,Tot sum,Variance,0.0,4.0,0.6666666666666666,8.0,0.6666666666666666
10,3,DOS,1,0.9005488780064519,0.8781822933959549,0.9668016194331984,0.030526970086009877,Tot sum,Tot sum,1.0,3.0,0.42857142857142855,10.0,1.0
10,4,DOS,0,,,,,Tot sum,,,,,,
10,5,DOS,0,,,,,Tot sum,,,,,,
10,1,MIRAI,1,0.9954922602907944,0.9951013651327988,0.9688259109311742,0.004716060893223992,Tot sum,Tot sum,1.0,5.0,1.0,10.0,1.0
10,2,MIRAI,0,,,,,Tot sum,,,,,,
10,3,MIRAI,1,0.9943793732368607,0.9939307011637135,0.9884615384615386,0.006011379077749683,Tot sum,Tot sum,1.0,4.0,0.6666666666666666,10.0,1.0
10,4,MIRAI,0,,,,,Tot sum,,,,,,
10,5,MIRAI,0,,,,,Tot sum,,,,,,
10,1,RECON,1,0.859817684691904,0.837512976424422,0.9783400809716599,0.03350651505022544,Variance,IAT,0.0,5.0,1.0,9.0,0.8181818181818182
10,2,RECON,0,,,,,Variance,,,,,,
10,3,RECON,0,,,,,Variance,,,,,,
10,4,RECON,1,0.9449542977926627,0.9362762302198279,0.9829959514170041,0.020175049936031524,Variance,Tot sum,0.0,4.0,0.6666666666666666,10.0,1.0
10,5,RECON,1,0.9210909441982743,0.9081783282508955,0.9933198380566802,0.02624055168504501,Variance,Tot sum,0.0,5.0,1.0,9.0,0.8181818181818182
10,1,SPOOFING,1,0.9836735644750346,0.9810292392181033,0.9919028340080972,0.012686083000380198,Variance,Tot size,0.0,5.0,1.0,9.0,0.8181818181818182
10,2,SPOOFING,0,,,,,Variance,,,,,,
10,3,SPOOFING,1,0.8871073012705842,0.8698327789662901,0.9884615384615386,0.027545773264657705,Variance,Tot sum,0.0,5.0,1.0,9.0,0.8181818181818182
10,4,SPOOFING,0,,,,,Variance,,,,,,
10,5,SPOOFING,1,0.7910118100624338,0.7717413958892391,0.9682186234817816,0.03880732287784778,Variance,Variance,1.0,5.0,1.0,8.0,0.6666666666666666
10,1,WEB,0,,,,,Tot sum,,,,,,
10,2,WEB,0,,,,,Tot sum,,,,,,
10,3,WEB,1,0.8746458937714986,0.8553535149151209,0.9864372469635628,0.02792565068677133,Tot sum,Tot sum,1.0,5.0,1.0,9.0,0.8181818181818182
10,4,WEB,0,,,,,Tot sum,,,,,,
10,5,WEB,0,,,,,Tot sum,,,,,,
