round,source,client_id,class_name,rank,feature_name,normalized_mean_abs_shap
10,server,,BENIGN,1,Tot sum,0.713311985531309
10,server,,BENIGN,2,Variance,0.4242467766254834
10,server,,BENIGN,3,AVG,0.3381213919355209
10,server,,BENIGN,4,Std,0.31107073255132767
10,server,,BENIGN,5,Tot size,0.20177292264524951
10,server,,BENIGN,6,Time_To_Live,0.17404132357731986
10,server,,BENIGN,7,IAT,0.13198054199040848
10,server,,BENIGN,8,Max,0.07542437020315207
10,server,,BENIGN,9,Number,0.06350186011527276
10,server,,BENIGN,10,ack_flag_number,0.02641698376799088
10,client_1,1,BENIGN,1,Variance,0.8186896846634061
10,client_1,1,BENIGN,2,Tot sum,0.4636780413491571
10,client_1,1,BENIGN,3,Std,0.18072644928703227
10,client_1,1,BENIGN,4,Time_To_Live,0.16821524029519527
10,client_1,1,BENIGN,5,Tot size,0.16352557320416694
10,client_1,1,BENIGN,6,AVG,0.1424344570630008
10,client_1,1,BENIGN,7,IAT,0.04785166052559285
10,client_1,1,BENIGN,8,Number,0.04704604332747334
10,client_1,1,BENIGN,9,Max,0.03140668662767906
10,client_1,1,BENIGN,10,ack_flag_number,0.031057352358723395
10,client_2,2,BENIGN,1,Variance,0.8032675848152627
10,client_2,2,BENIGN,2,AVG,0.3438969890915769
10,client_2,2,BENIGN,3,Std,0.3123618312229513
10,client_2,2,BENIGN,4,Tot sum,0.2770469344389719
10,client_2,2,BENIGN,5,Tot size,0.2389157198787167
10,client_2,2,BENIGN,6,Max,0.06292415323153977
10,client_2,2,BENIGN,7,Number,0.02561310600018635
10,client_2,2,BENIGN,8,IAT,0.017142359271258983
10,client_2,2,BENIGN,9,ack_flag_number,0.009396312441353713
10,client_2,2,BENIGN,10,Time_To_Live,0.00577020190979868
10,client_3,3,BENIGN,1,Variance,0.7440790329904897
10,client_3,3,BENIGN,2,Tot sum,0.478774529594845
10,client_3,3,BENIGN,3,Time_To_Live,0.3482267529916318
10,client_3,3,BENIGN,4,Tot size,0.23016416680922877
10,client_3,3,BENIGN,5,Std,0.12759958534583818
10,client_3,3,BENIGN,6,IAT,0.11846027225887369
10,client_3,3,BENIGN,7,AVG,0.08861118276140431
10,client_3,3,BENIGN,8,Number,0.06159496232807349
10,client_3,3,BENIGN,9,ack_flag_number,0.018632449421016658
10,client_3,3,BENIGN,10,Max,0.017890977206886028
10,client_4,4,BENIGN,1,Time_To_Live,0.626449798008622
10,client_4,4,BENIGN,2,Variance,0.5399458402246261
10,client_4,4,BENIGN,3,Tot sum,0.52351205160168
10,client_4,4,BENIGN,4,Number,0.1607503725268244
10,client_4,4,BENIGN,5,Std,0.12125553595560863
10,client_4,4,BENIGN,6,Max,0.024485070182492595
10,client_4,4,BENIGN,7,AVG,0.013502554847528374
10,client_4,4,BENIGN,8,Tot size,0.012117060136692356
10,client_4,4,BENIGN,9,IAT,0.010292879293992566
10,client_4,4,BENIGN,10,syn_count,0.009548770703350157
10,server,,DDOS,1,Tot size,0.5530876776465179
10,server,,DDOS,2,AVG,0.5014492457347676
10,server,,DDOS,3,Tot sum,0.4376630312243772
10,server,,DDOS,4,Variance,0.3398690436373914
10,server,,DDOS,5,Std,0.2404458539016239
10,server,,DDOS,6,syn_flag_number,0.1738493389573968
10,server,,DDOS,7,UDP,0.11332767088172944
10,server,,DDOS,8,fin_count,0.1067871075877533
10,server,,DDOS,9,syn_count,0.09175434802663716
10,server,,DDOS,10,Max,0.06632432612366852
10,client_1,1,DDOS,1,Variance,0.4909565862815949
10,client_1,1,DDOS,2,Tot sum,0.4560832090496238
10,client_1,1,DDOS,3,fin_count,0.41812019540036216
10,client_1,1,DDOS,4,syn_flag_number,0.3879296261062567
10,client_1,1,DDOS,5,syn_count,0.24162824771010308
10,client_1,1,DDOS,6,AVG,0.18365049187999985
10,client_1,1,DDOS,7,UDP,0.17555484736724847
10,client_1,1,DDOS,8,Tot size,0.1697493983680869
10,client_1,1,DDOS,9,ack_flag_number,0.13663527430306346
10,client_1,1,DDOS,10,rst_count,0.11856933019415203
