round,client_id,class_name,available,cosine_similarity,pearson_correlation,spearman_rank_correlation,mean_absolute_difference,top_server_feature,top_client_feature,top1_match,top5_overlap_count,top5_jaccard,top10_overlap_count,top10_jaccard
10,1,BENIGN,1,0.9726358376899232,0.9699186299134038,0.9917004048582995,0.01678386055385793,Variance,Variance,1,4,0.6666666666666666,9,0.8181818181818182
10,2,BENIGN,1,0.9674545686709575,0.9634889797629044,0.9852226720647774,0.016187362472868214,Variance,Variance,1,4,0.6666666666666666,9,0.8181818181818182
10,3,BENIGN,1,0.9879014082964873,0.9856672050138322,0.995748987854251,0.010371697540512835,Variance,Variance,1,5,1.0,9,0.8181818181818182
10,4,BENIGN,1,0.9854531774147164,0.9832538578563308,0.9937246963562752,0.011816830935661196,Variance,Variance,1,5,1.0,9,0.8181818181818182
10,5,BENIGN,1,0.9097629834332123,0.8921630436522416,0.9894736842105264,0.02547876765421279,Variance,Std,0,5,1.0,9,0.8181818181818182
10,1,DDOS,1,0.9597513070188118,0.94928224473683,0.9856275303643726,0.020038539685832385,Tot sum,Tot sum,1,4,0.6666666666666666,8,0.6666666666666666
10,2,DDOS,1,0.6869029472787975,0.601213328889643,0.9522267206477734,0.05280562561426249,Tot sum,Variance,0,2,0.25,8,0.6666666666666666
10,3,DDOS,1,0.6969856949336801,0.6228960349980216,0.9746963562753036,0.044475373680819566,Tot sum,Variance,0,4,0.6666666666666666,9,0.8181818181818182
10,4,DDOS,1,0.7759837425245063,0.704047883985608,0.9542510121457489,0.04979450810526066,Tot sum,fin_count,0,3,0.42857142857142855,9,0.8181818181818182
10,5,DDOS,1,0.7052474408378987,0.607371717077462,0.8834008097165993,0.06248522998481061,Tot sum,fin_count,0,2,0.25,8,0.6666666666666666
10,1,DOS,1,0.9596059571026313,0.9524222648592516,0.9850202429149799,0.017436086890414263,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,2,DOS,1,0.906633919524391,0.8857714770461032,0.9447368421052632,0.03131389209315146,Tot sum,Tot sum,1,5,1.0,8,0.6666666666666666
10,3,DOS,1,0.9732811806514817,0.967752998374049,0.9781376518218624,0.014242561172699201,Tot sum,Tot sum,1,5,1.0,9,0.8181818181818182
10,4,DOS,1,0.8142228764835009,0.7713504101621395,0.9502024291497976,0.036356190970305284,Tot sum,Variance,0,4,0.6666666666666666,8,0.6666666666666666
10,5,DOS,1,0.9799591602006112,0.9767781582284497,0.9625506072874495,0.01673290609023467,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,1,MIRAI,1,0.9991198146493048,0.9990406184898658,0.9977732793522268,0.00263937782109957,Tot sum,Tot sum,1,4,0.6666666666666666,10,1.0
10,2,MIRAI,1,0.9996673393544571,0.9996349505562805,0.9676113360323887,0.0017386945234466437,Tot sum,Tot sum,1,4,0.6666666666666666,10,1.0
10,3,MIRAI,1,0.9990034595776554,0.9989463160586193,0.986842105263158,0.0030251525144664956,Tot sum,Tot sum,1,4,0.6666666666666666,10,1.0
10,4,MIRAI,1,0.9996111993222179,0.9995722394241833,0.9738866396761134,0.001795549161298442,Tot sum,Tot sum,1,5,1.0,10,1.0
10,5,MIRAI,1,0.9996083697341323,0.999576561837607,0.9769230769230771,0.0016384900554706973,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,1,RECON,1,0.8922553480715666,0.8717716686084901,0.9718623481781377,0.03120038352026836,Tot sum,Tot sum,1,3,0.42857142857142855,8,0.6666666666666666
10,2,RECON,1,0.9938206395379807,0.9926307601796001,0.9801619433198382,0.007425306302867754,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,3,RECON,1,0.9874896949627174,0.9853783090519487,0.9892712550607288,0.012662819366533365,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,4,RECON,1,0.792992610943222,0.7644210060199583,0.9827935222672065,0.042350758791483714,Tot sum,Variance,0,5,1.0,9,0.8181818181818182
10,5,RECON,1,0.9887391174447424,0.9869906580496652,0.980769230769231,0.01188264841954745,Tot sum,Tot sum,1,5,1.0,10,1.0
10,1,SPOOFING,1,0.9719489449418635,0.9666774896349611,0.9815789473684211,0.01463728160981644,Variance,Tot size,0,5,1.0,7,0.5384615384615384
10,2,SPOOFING,1,0.9620764360986503,0.9550505252341559,0.9653846153846155,0.016833120011713117,Variance,Tot size,0,5,1.0,9,0.8181818181818182
10,3,SPOOFING,1,0.9908072880333809,0.9895264597573467,0.9850202429149799,0.009575717818884923,Variance,Tot size,0,5,1.0,9,0.8181818181818182
10,4,SPOOFING,1,0.9597929780655433,0.9521511636588761,0.9753036437246964,0.02022592480725131,Variance,AVG,0,4,0.6666666666666666,7,0.5384615384615384
10,5,SPOOFING,1,0.9688477328116489,0.9666182464445021,0.9815789473684211,0.017909077423600823,Variance,Variance,1,5,1.0,9,0.8181818181818182
10,1,WEB,1,0.9630170521012191,0.9576626689525977,0.9852226720647774,0.017526789646366586,IAT,IAT,1,5,1.0,9,0.8181818181818182
10,2,WEB,1,0.9946163069561829,0.993850356211913,0.9821862348178138,0.006588028524217919,IAT,IAT,1,5,1.0,9,0.8181818181818182
10,3,WEB,1,0.9176836125785109,0.9060559641868889,0.9787449392712552,0.026153247667468855,IAT,IAT,1,4,0.6666666666666666,9,0.8181818181818182
10,4,WEB,1,0.8708265487435163,0.8511777486699933,0.9779352226720648,0.028420588043949476,IAT,Variance,0,4,0.6666666666666666,8,0.6666666666666666
10,5,WEB,1,0.7745298383321926,0.7411268580375344,0.9842105263157895,0.04151268084294848,IAT,Variance,0,4,0.6666666666666666,9,0.8181818181818182
