round,source,class_id,class_name,feature_id,feature_name,normalized_mean_abs_shap,feature_rank_within_class
10,server,0,BENIGN,0,Header_Length,0.0016935468802740364,18
10,server,0,BENIGN,1,Protocol Type,0.00030739582572268805,20
10,server,0,BENIGN,2,Time_To_Live,0.14318952855288275,5
10,server,0,BENIGN,3,Rate,0.00015303937479248226,23
10,server,0,BENIGN,4,fin_flag_number,0.00013750510768452374,25
10,server,0,BENIGN,5,syn_flag_number,0.02771895267796458,11
10,server,0,BENIGN,6,rst_flag_number,0.00024012247547979286,22
10,server,0,BENIGN,7,psh_flag_number,0.0002761369901838493,21
10,server,0,BENIGN,8,ack_flag_number,0.04933628570353449,9
10,server,0,BENIGN,9,ece_flag_number,0.0,34
10,server,0,BENIGN,10,cwr_flag_number,0.0,35
10,server,0,BENIGN,11,ack_count,0.0044205198905246925,17
10,server,0,BENIGN,12,syn_count,0.015526607740697865,14
10,server,0,BENIGN,13,fin_count,0.004860762541696445,16
10,server,0,BENIGN,14,rst_count,0.010297007230475906,15
10,server,0,BENIGN,15,HTTP,4.13739680061662e-05,27
10,server,0,BENIGN,16,HTTPS,0.00010365507575090736,26
10,server,0,BENIGN,17,DNS,5.101568252761622e-06,31
10,server,0,BENIGN,18,Telnet,0.0,36
10,server,0,BENIGN,19,SMTP,0.0,37
10,server,0,BENIGN,20,SSH,9.759599136956794e-08,32
10,server,0,BENIGN,21,IRC,0.0,38
10,server,0,BENIGN,22,TCP,0.00033183276647737284,19
10,server,0,BENIGN,23,UDP,0.02975456579473504,10
10,server,0,BENIGN,24,DHCP,2.2810729738110196e-08,33
10,server,0,BENIGN,25,ARP,1.5464527268844996e-05,29
10,server,0,BENIGN,26,ICMP,0.0001468911119312153,24
10,server,0,BENIGN,27,IGMP,0.0,39
10,server,0,BENIGN,28,IPv,2.0772440922980504e-05,28
10,server,0,BENIGN,29,LLC,8.963162344578802e-06,30
10,server,0,BENIGN,30,Tot sum,0.40233889339006146,3
10,server,0,BENIGN,31,Min,0.01909437787114912,13
10,server,0,BENIGN,32,Max,0.0860611729646913,8
10,server,0,BENIGN,33,AVG,0.26563538433814826,4
10,server,0,BENIGN,34,Std,0.4933438841384684,2
10,server,0,BENIGN,35,Tot size,0.10654671892431133,6
10,server,0,BENIGN,36,IAT,0.0910285470892369,7
10,server,0,BENIGN,37,Number,0.023157153261654545,12
10,server,0,BENIGN,38,Variance,0.6864712338217185,1
10,server,1,DDOS,0,Header_Length,0.04131747399650045,13
10,server,1,DDOS,1,Protocol Type,0.014971459986713748,19
10,server,1,DDOS,2,Time_To_Live,0.004893087058888242,20
10,server,1,DDOS,3,Rate,0.004383366286590068,22
10,server,1,DDOS,4,fin_flag_number,0.0006576432795203991,26
10,server,1,DDOS,5,syn_flag_number,0.16887436783186574,6
10,server,1,DDOS,6,rst_flag_number,0.0029225485406528533,23
10,server,1,DDOS,7,psh_flag_number,0.020011372370401705,17
10,server,1,DDOS,8,ack_flag_number,0.11859874946377881,9
10,server,1,DDOS,9,ece_flag_number,0.0,33
10,server,1,DDOS,10,cwr_flag_number,0.0,34
10,server,1,DDOS,11,ack_count,0.05883376053052593,10
10,server,1,DDOS,12,syn_count,0.05786975146791426,11
