round,source,client_id,class_name,rank,feature_name,normalized_mean_abs_shap
10,server,,BENIGN,1,Variance,0.6864712338217185
10,server,,BENIGN,2,Std,0.4933438841384684
10,server,,BENIGN,3,Tot sum,0.40233889339006146
10,server,,BENIGN,4,AVG,0.26563538433814826
10,server,,BENIGN,5,Time_To_Live,0.14318952855288275
10,server,,BENIGN,6,Tot size,0.10654671892431133
10,server,,BENIGN,7,IAT,0.0910285470892369
10,server,,BENIGN,8,Max,0.0860611729646913
10,server,,BENIGN,9,ack_flag_number,0.04933628570353449
10,server,,BENIGN,10,UDP,0.02975456579473504
10,client_1,1,BENIGN,1,Variance,0.8233836794404231
10,client_1,1,BENIGN,2,Std,0.40856496404805476
10,client_1,1,BENIGN,3,Tot sum,0.30538004762903914
10,client_1,1,BENIGN,4,AVG,0.1500995387229613
10,client_1,1,BENIGN,5,Tot size,0.1418704119176303
10,client_1,1,BENIGN,6,Time_To_Live,0.10084783347392169
10,client_1,1,BENIGN,7,Max,0.06745332712742623
10,client_1,1,BENIGN,8,IAT,0.05167825026553347
10,client_1,1,BENIGN,9,ack_flag_number,0.032515046126027444
10,client_1,1,BENIGN,10,Number,0.016213379700498527
10,client_2,2,BENIGN,1,Variance,0.824908871774976
10,client_2,2,BENIGN,2,Std,0.39926517178112914
10,client_2,2,BENIGN,3,Tot sum,0.31700629301247496
10,client_2,2,BENIGN,4,Tot size,0.13820798341982465
10,client_2,2,BENIGN,5,Time_To_Live,0.13341822825251073
10,client_2,2,BENIGN,6,AVG,0.10229508216046397
10,client_2,2,BENIGN,7,IAT,0.06508595572511607
10,client_2,2,BENIGN,8,Max,0.057512103771566396
10,client_2,2,BENIGN,9,ack_flag_number,0.05296771436139447
10,client_2,2,BENIGN,10,syn_flag_number,0.029502326793005643
10,client_3,3,BENIGN,1,Variance,0.7323632533195085
10,client_3,3,BENIGN,2,Std,0.42888236390217493
10,client_3,3,BENIGN,3,Tot sum,0.3550803832869939
10,client_3,3,BENIGN,4,Time_To_Live,0.2591862657007072
10,client_3,3,BENIGN,5,AVG,0.23585983013479117
10,client_3,3,BENIGN,6,Tot size,0.1013242176527081
10,client_3,3,BENIGN,7,Max,0.07642371465868371
10,client_3,3,BENIGN,8,IAT,0.07147632376485696
10,client_3,3,BENIGN,9,ack_flag_number,0.05838310651326594
10,client_3,3,BENIGN,10,syn_flag_number,0.04951024042650109
10,client_4,4,BENIGN,1,Variance,0.5778234517660416
10,client_4,4,BENIGN,2,Std,0.5512784888316403
10,client_4,4,BENIGN,3,Tot sum,0.38728597033545276
10,client_4,4,BENIGN,4,AVG,0.3551427188412224
10,client_4,4,BENIGN,5,Time_To_Live,0.18503357751456184
10,client_4,4,BENIGN,6,Tot size,0.14385847539027186
10,client_4,4,BENIGN,7,Max,0.09932311395159718
10,client_4,4,BENIGN,8,IAT,0.09381762559128096
10,client_4,4,BENIGN,9,syn_flag_number,0.06973125003096342
10,client_4,4,BENIGN,10,ack_flag_number,0.0626721907227969
10,client_5,5,BENIGN,1,Std,0.5802653268790524
10,client_5,5,BENIGN,2,Tot sum,0.4840468986439393
10,client_5,5,BENIGN,3,AVG,0.37562584633678964
10,client_5,5,BENIGN,4,Variance,0.3471658466048532
10,client_5,5,BENIGN,5,Time_To_Live,0.32597930845802564
10,client_5,5,BENIGN,6,Tot size,0.14850934189604612
10,client_5,5,BENIGN,7,IAT,0.1333019146345421
10,client_5,5,BENIGN,8,Max,0.10680739416019652
10,client_5,5,BENIGN,9,ack_flag_number,0.08109136080806964
10,client_5,5,BENIGN,10,Number,0.04241331902620093
10,server,,DDOS,1,Tot sum,0.693709573268438
10,server,,DDOS,2,AVG,0.38130873947553845
10,server,,DDOS,3,Tot size,0.3636639034640863
10,server,,DDOS,4,UDP,0.3109352226891111
10,server,,DDOS,5,fin_count,0.19959601013447809
10,server,,DDOS,6,syn_flag_number,0.16887436783186574
10,server,,DDOS,7,Variance,0.16591620689636885
10,server,,DDOS,8,rst_count,0.1357804619631336
10,server,,DDOS,9,ack_flag_number,0.11859874946377881
10,server,,DDOS,10,ack_count,0.05883376053052593
10,client_1,1,DDOS,1,Tot sum,0.6475057309108954
10,client_1,1,DDOS,2,AVG,0.4466217196754485
10,client_1,1,DDOS,3,Tot size,0.44405065213663397
10,client_1,1,DDOS,4,fin_count,0.26170724635127574
10,client_1,1,DDOS,5,Variance,0.2340053486241075
10,client_1,1,DDOS,6,syn_flag_number,0.14808225280638845
10,client_1,1,DDOS,7,rst_count,0.11174854565568104
10,client_1,1,DDOS,8,UDP,0.08397346685695128
10,client_1,1,DDOS,9,Std,0.08117691222176314
10,client_1,1,DDOS,10,syn_count,0.05324432759721629
10,client_2,2,DDOS,1,Variance,0.721053331242261
10,client_2,2,DDOS,2,Tot sum,0.4642932546786754
10,client_2,2,DDOS,3,ack_flag_number,0.2536119107122959
10,client_2,2,DDOS,4,syn_flag_number,0.24289343307836547
10,client_2,2,DDOS,5,UDP,0.19914421159308035
10,client_2,2,DDOS,6,fin_count,0.17766821771708066
10,client_2,2,DDOS,7,rst_count,0.16888315475307455
10,client_2,2,DDOS,8,ack_count,0.11118797750309047
10,client_2,2,DDOS,9,syn_count,0.10173023869108702
10,client_2,2,DDOS,10,Std,0.06966239471547071
10,client_3,3,DDOS,1,Variance,0.8113700135621689
10,client_3,3,DDOS,2,Tot sum,0.35721638958338864
10,client_3,3,DDOS,3,AVG,0.21540876751147833
10,client_3,3,DDOS,4,Tot size,0.20618036215100752
10,client_3,3,DDOS,5,UDP,0.1940102575550841
10,client_3,3,DDOS,6,syn_flag_number,0.17056099440350725
10,client_3,3,DDOS,7,fin_count,0.1530415031955845
10,client_3,3,DDOS,8,Std,0.10585598471895008
10,client_3,3,DDOS,9,rst_count,0.09733159236003408
10,client_3,3,DDOS,10,ack_flag_number,0.07182826168161974
10,client_4,4,DDOS,1,fin_count,0.5388663801476195
10,client_4,4,DDOS,2,syn_flag_number,0.4505996790839457
10,client_4,4,DDOS,3,UDP,0.3805419132968611
10,client_4,4,DDOS,4,Tot sum,0.3123089526381649
10,client_4,4,DDOS,5,rst_count,0.25769884343918464
10,client_4,4,DDOS,6,AVG,0.2149988994165366
10,client_4,4,DDOS,7,Variance,0.17453991660862148
10,client_4,4,DDOS,8,ack_flag_number,0.1713525903533145
10,client_4,4,DDOS,9,syn_count,0.16964422898719214
10,client_4,4,DDOS,10,Tot size,0.16819481439830603
10,client_5,5,DDOS,1,fin_count,0.6122055583787499
10,client_5,5,DDOS,2,syn_flag_number,0.3472470877727166
10,client_5,5,DDOS,3,Variance,0.31731000159319045
10,client_5,5,DDOS,4,rst_count,0.30185073108117494
10,client_5,5,DDOS,5,Tot sum,0.29267248628031806
10,client_5,5,DDOS,6,UDP,0.27789775799226213
10,client_5,5,DDOS,7,Std,0.2032725941470081
10,client_5,5,DDOS,8,AVG,0.14236576629485523
10,client_5,5,DDOS,9,Header_Length,0.1367223198619206
10,client_5,5,DDOS,10,ack_flag_number,0.13527707660828708
10,server,,DOS,1,Tot sum,0.7000905437456674
10,server,,DOS,2,AVG,0.507903133062861
10,server,,DOS,3,UDP,0.35553831091709565
10,server,,DOS,4,Tot size,0.2648961427037642
10,server,,DOS,5,Variance,0.11059024190144283
10,server,,DOS,6,syn_flag_number,0.09404568830220698
10,server,,DOS,7,Min,0.08608313894585105
10,server,,DOS,8,fin_count,0.08262888284417877
10,server,,DOS,9,ack_flag_number,0.07206672180294527
10,server,,DOS,10,Std,0.07029861044565222
10,client_1,1,DOS,1,Tot sum,0.747307169835388
10,client_1,1,DOS,2,AVG,0.499781980946353
10,client_1,1,DOS,3,Tot size,0.34816657109915317
10,client_1,1,DOS,4,Variance,0.16159281427871924
10,client_1,1,DOS,5,Std,0.11089991358108305
10,client_1,1,DOS,6,UDP,0.10812306332831477
10,client_1,1,DOS,7,fin_count,0.08125902643603242
10,client_1,1,DOS,8,Max,0.05906002895463498
10,client_1,1,DOS,9,syn_flag_number,0.05418468368085684
10,client_1,1,DOS,10,ack_flag_number,0.05239091309629168
10,client_2,2,DOS,1,Tot sum,0.610540538891546
10,client_2,2,DOS,2,Variance,0.4451430900704744
10,client_2,2,DOS,3,AVG,0.3972274458222681
10,client_2,2,DOS,4,UDP,0.32155810251805
10,client_2,2,DOS,5,Tot size,0.22294059981328446
10,client_2,2,DOS,6,Std,0.21815259031047968
10,client_2,2,DOS,7,ack_flag_number,0.18377019212855747
10,client_2,2,DOS,8,syn_count,0.09832758467172002
10,client_2,2,DOS,9,syn_flag_number,0.09055261711565726
10,client_2,2,DOS,10,ack_count,0.08802643364086353
10,client_3,3,DOS,1,Tot sum,0.6797579149702417
10,client_3,3,DOS,2,AVG,0.5291544587638058
10,client_3,3,DOS,3,Tot size,0.3275017830254593
10,client_3,3,DOS,4,Variance,0.27262052237186174
10,client_3,3,DOS,5,UDP,0.21417113373889934
10,client_3,3,DOS,6,syn_flag_number,0.09170360585555087
10,client_3,3,DOS,7,Min,0.07486052560715986
10,client_3,3,DOS,8,fin_count,0.0703180499528073
10,client_3,3,DOS,9,Std,0.050841530121816754
10,client_3,3,DOS,10,rst_count,0.05034134327089235
10,client_4,4,DOS,1,Variance,0.6289778352346689
10,client_4,4,DOS,2,Tot sum,0.5270522350186123
10,client_4,4,DOS,3,UDP,0.37113861660110603
10,client_4,4,DOS,4,AVG,0.3014751267840482
10,client_4,4,DOS,5,syn_flag_number,0.15935597726394846
10,client_4,4,DOS,6,Tot size,0.141590194017293
10,client_4,4,DOS,7,Max,0.10409369882512995
10,client_4,4,DOS,8,fin_count,0.10107833801004264
10,client_4,4,DOS,9,Std,0.09610437906961498
10,client_4,4,DOS,10,syn_count,0.08917454709926195
10,client_5,5,DOS,1,Tot sum,0.62614180058531
10,client_5,5,DOS,2,AVG,0.49095121052885476
10,client_5,5,DOS,3,UDP,0.42979185166572714
10,client_5,5,DOS,4,Tot size,0.22927188291638942
10,client_5,5,DOS,5,fin_count,0.2165266895405054
10,client_5,5,DOS,6,syn_flag_number,0.14837710091336442
10,client_5,5,DOS,7,Variance,0.1345927341851096
10,client_5,5,DOS,8,Std,0.11401282225958975
10,client_5,5,DOS,9,rst_count,0.09212400282921505
10,client_5,5,DOS,10,ack_flag_number,0.08242519739637165
10,server,,MIRAI,1,Tot sum,0.758332711831269
10,server,,MIRAI,2,AVG,0.5177285106823517
10,server,,MIRAI,3,Tot size,0.3827807376537799
10,server,,MIRAI,4,Variance,0.06969931456811648
10,server,,MIRAI,5,Min,0.04490549150532632
10,server,,MIRAI,6,Max,0.040614186000756995
10,server,,MIRAI,7,Std,0.032567562781567846
10,server,,MIRAI,8,UDP,0.025427666650957824
10,server,,MIRAI,9,syn_flag_number,0.008172436025804364
10,server,,MIRAI,10,syn_count,0.006885614205723354
10,client_1,1,MIRAI,1,Tot sum,0.7361525105545915
10,client_1,1,MIRAI,2,AVG,0.5269391687592112
10,client_1,1,MIRAI,3,Tot size,0.4099260152980493
10,client_1,1,MIRAI,4,Variance,0.0775241113667911
10,client_1,1,MIRAI,5,Std,0.04953695539532881
10,client_1,1,MIRAI,6,Max,0.04431848643198119
10,client_1,1,MIRAI,7,Min,0.03817575513273303
10,client_1,1,MIRAI,8,UDP,0.019368180271699453
10,client_1,1,MIRAI,9,syn_flag_number,0.007568122165110214
10,client_1,1,MIRAI,10,syn_count,0.006427519743088014
10,client_2,2,MIRAI,1,Tot sum,0.7585226406143865
10,client_2,2,MIRAI,2,AVG,0.5065838124471649
10,client_2,2,MIRAI,3,Tot size,0.3970507015268724
10,client_2,2,MIRAI,4,Variance,0.06405402669192581
10,client_2,2,MIRAI,5,Std,0.04727210791908026
10,client_2,2,MIRAI,6,Max,0.04136304877304002
10,client_2,2,MIRAI,7,Min,0.03710863521233811
10,client_2,2,MIRAI,8,UDP,0.026442223653524787
10,client_2,2,MIRAI,9,syn_flag_number,0.011335342076772269
10,client_2,2,MIRAI,10,syn_count,0.009456751503542164
10,client_3,3,MIRAI,1,Tot sum,0.7330575082751505
10,client_3,3,MIRAI,2,AVG,0.5320958864408285
10,client_3,3,MIRAI,3,Tot size,0.4061378678742001
10,client_3,3,MIRAI,4,Variance,0.08988221317279088
10,client_3,3,MIRAI,5,Max,0.043619842011003315
10,client_3,3,MIRAI,6,Std,0.03976574666995669
10,client_3,3,MIRAI,7,Min,0.039540694220124524
10,client_3,3,MIRAI,8,UDP,0.033199239807531505
10,client_3,3,MIRAI,9,syn_flag_number,0.013464303267676494
10,client_3,3,MIRAI,10,syn_count,0.01088402778803397
10,client_4,4,MIRAI,1,Tot sum,0.7617009107089063
10,client_4,4,MIRAI,2,AVG,0.5272532130491355
10,client_4,4,MIRAI,3,Tot size,0.3634658350851334
10,client_4,4,MIRAI,4,Variance,0.05573392890674609
10,client_4,4,MIRAI,5,Min,0.05279168437932303
10,client_4,4,MIRAI,6,Max,0.04093003959904004
10,client_4,4,MIRAI,7,Std,0.03177783895025184
10,client_4,4,MIRAI,8,UDP,0.029658067510089058
10,client_4,4,MIRAI,9,syn_flag_number,0.011816977090616704
10,client_4,4,MIRAI,10,syn_count,0.010083053736947593
10,client_5,5,MIRAI,1,Tot sum,0.7568340362064345
10,client_5,5,MIRAI,2,AVG,0.5177083283723567
10,client_5,5,MIRAI,3,Tot size,0.3885142704860297
10,client_5,5,MIRAI,4,Variance,0.04881481153176669
10,client_5,5,MIRAI,5,Std,0.04715372258799785
10,client_5,5,MIRAI,6,Max,0.04037432001761774
10,client_5,5,MIRAI,7,Min,0.03754527921739897
10,client_5,5,MIRAI,8,UDP,0.023553465840668385
10,client_5,5,MIRAI,9,syn_flag_number,0.003312321857879349
10,client_5,5,MIRAI,10,rst_count,0.002917568269661249
10,server,,RECON,1,Tot sum,0.7339438072283755
10,server,,RECON,2,Variance,0.4767401746853886
10,server,,RECON,3,Std,0.24767815283282157
10,server,,RECON,4,AVG,0.2281445860219424
10,server,,RECON,5,Tot size,0.2133488197467877
10,server,,RECON,6,IAT,0.19573938627379348
10,server,,RECON,7,syn_flag_number,0.13901070204011307
10,server,,RECON,8,Time_To_Live,0.08188674650403192
10,server,,RECON,9,Number,0.06238045191699005
