round,client_id,num_examples,fedavg_weight,final_weight,warmup,server_f1_source_round
1,1,515452,0.2,0.2,1,0
1,2,515452,0.2,0.2,1,0
1,3,515452,0.2,0.2,1,0
1,4,515452,0.2,0.2,1,0
1,5,515452,0.2,0.2,1,0
2,1,515452,0.2,0.2,1,1
2,2,515452,0.2,0.2,1,1
2,3,515452,0.2,0.2,1,1
2,4,515452,0.2,0.2,1,1
2,5,515452,0.2,0.2,1,1
3,1,515452,0.2,0.2,1,2
3,2,515452,0.2,0.2,1,2
3,3,515452,0.2,0.2,1,2
3,4,515452,0.2,0.2,1,2
3,5,515452,0.2,0.2,1,2
4,1,515452,0.2,0.2,1,3
4,2,515452,0.2,0.2,1,3
4,3,515452,0.2,0.2,1,3
4,4,515452,0.2,0.2,1,3
4,5,515452,0.2,0.2,1,3
5,1,515452,0.2,0.2,1,4
5,2,515452,0.2,0.2,1,4
5,3,515452,0.2,0.2,1,4
5,4,515452,0.2,0.2,1,4
5,5,515452,0.2,0.2,1,4
6,1,515452,0.2,0.2,1,5
6,2,515452,0.2,0.2,1,5
6,3,515452,0.2,0.2,1,5
6,4,515452,0.2,0.2,1,5
6,5,515452,0.2,0.2,1,5
7,1,515452,0.2,0.2,1,6
7,2,515452,0.2,0.2,1,6
7,3,515452,0.2,0.2,1,6
7,4,515452,0.2,0.2,1,6
7,5,515452,0.2,0.2,1,6
8,1,515452,0.2,0.2,1,7
8,2,515452,0.2,0.2,1,7
8,3,515452,0.2,0.2,1,7
8,4,515452,0.2,0.2,1,7
8,5,515452,0.2,0.2,1,7
9,1,515452,0.2,0.2,1,8
9,2,515452,0.2,0.2,1,8
9,3,515452,0.2,0.2,1,8
9,4,515452,0.2,0.2,1,8
9,5,515452,0.2,0.2,1,8
10,1,515452,0.2,0.2,1,9
10,2,515452,0.2,0.2,1,9
10,3,515452,0.2,0.2,1,9
10,4,515452,0.2,0.2,1,9
10,5,515452,0.2,0.2,1,9
