round,source,client_id,class_name,rank,feature_name,normalized_mean_abs_shap
10,server,,BENIGN,1,Tot sum,0.649753820018192
10,server,,BENIGN,2,AVG,0.41865456401465395
10,server,,BENIGN,3,Variance,0.3962682338371181
10,server,,BENIGN,4,Std,0.35317072648962855
10,server,,BENIGN,5,Tot size,0.2693839956775295
10,server,,BENIGN,6,Time_To_Live,0.15560282460347208
10,server,,BENIGN,7,IAT,0.10871288159837901
10,server,,BENIGN,8,Max,0.08588161650917689
10,server,,BENIGN,9,Number,0.0543316743839234
10,server,,BENIGN,10,ack_flag_number,0.026383774867262982
10,client_1,1,BENIGN,1,Variance,0.8286936593917825
10,client_1,1,BENIGN,2,Tot sum,0.43836209755067684
10,client_1,1,BENIGN,3,Std,0.19199238373995775
10,client_1,1,BENIGN,4,Time_To_Live,0.17034890843416778
10,client_1,1,BENIGN,5,Tot size,0.16809188161393623
10,client_1,1,BENIGN,6,AVG,0.1417494948255846
10,client_1,1,BENIGN,7,IAT,0.049785705019031026
10,client_1,1,BENIGN,8,Number,0.044565376097165196
10,client_1,1,BENIGN,9,ack_flag_number,0.032320609686597085
10,client_1,1,BENIGN,10,Max,0.03200913472449583
10,client_2,2,BENIGN,1,Variance,0.779384456086497
10,client_2,2,BENIGN,2,AVG,0.3631958609490106
10,client_2,2,BENIGN,3,Std,0.32587290243748623
10,client_2,2,BENIGN,4,Tot sum,0.29160416769251074
10,client_2,2,BENIGN,5,Tot size,0.2525522877489637
10,client_2,2,BENIGN,6,Max,0.06615536026846701
10,client_2,2,BENIGN,7,Number,0.02644517185751181
10,client_2,2,BENIGN,8,IAT,0.01902094831302712
10,client_2,2,BENIGN,9,ack_flag_number,0.009829094096348122
10,client_2,2,BENIGN,10,Time_To_Live,0.006086813943277556
10,client_3,3,BENIGN,1,Variance,0.73970502350735
10,client_3,3,BENIGN,2,Tot sum,0.4785032670277464
10,client_3,3,BENIGN,3,Time_To_Live,0.35112302114117844
10,client_3,3,BENIGN,4,Tot size,0.2302087395841682
10,client_3,3,BENIGN,5,Std,0.14865009487523106
10,client_3,3,BENIGN,6,IAT,0.11417937122076642
10,client_3,3,BENIGN,7,AVG,0.08738012276169133
10,client_3,3,BENIGN,8,Number,0.06098079008700911
10,client_3,3,BENIGN,9,ack_flag_number,0.020995414357785205
10,client_3,3,BENIGN,10,Max,0.01944243954701941
10,client_4,4,BENIGN,1,Time_To_Live,0.632391366786334
10,client_4,4,BENIGN,2,Variance,0.5298037740455656
10,client_4,4,BENIGN,3,Tot sum,0.5234583200337873
10,client_4,4,BENIGN,4,Number,0.1623714194742033
10,client_4,4,BENIGN,5,Std,0.1325739237354275
10,client_4,4,BENIGN,6,Max,0.027104361621898602
10,client_4,4,BENIGN,7,Tot size,0.012068209802964806
10,client_4,4,BENIGN,8,AVG,0.010191774032124797
10,client_4,4,BENIGN,9,IAT,0.010017201869274772
10,client_4,4,BENIGN,10,syn_count,0.009903763214344897
10,server,,DDOS,1,Tot size,0.5516008193430727
10,server,,DDOS,2,AVG,0.49871427841388
10,server,,DDOS,3,Tot sum,0.45243908180349685
10,server,,DDOS,4,Variance,0.3266944519845427
10,server,,DDOS,5,Std,0.22816812832748715
10,server,,DDOS,6,syn_flag_number,0.18159657028860798
10,server,,DDOS,7,UDP,0.11695316370329813
10,server,,DDOS,8,fin_count,0.11296281760694231
10,server,,DDOS,9,syn_count,0.09414379648664059
10,server,,DDOS,10,Max,0.06483493579866838
10,client_1,1,DDOS,1,Variance,0.49996697215641056
10,client_1,1,DDOS,2,Tot sum,0.44881830387765725
10,client_1,1,DDOS,3,fin_count,0.41838238994906785
10,client_1,1,DDOS,4,syn_flag_number,0.38273192369639253
10,client_1,1,DDOS,5,syn_count,0.236665353167659
10,client_1,1,DDOS,6,AVG,0.18804482963422375
10,client_1,1,DDOS,7,Tot size,0.17502358547855668
10,client_1,1,DDOS,8,UDP,0.17443091787463488
10,client_1,1,DDOS,9,ack_flag_number,0.13227783444474212
10,client_1,1,DDOS,10,rst_count,0.12493896760185343
10,client_2,2,DDOS,1,Tot sum,0.5810508139595741
10,client_2,2,DDOS,2,Variance,0.5504092745869511
10,client_2,2,DDOS,3,fin_count,0.3628027302085786
10,client_2,2,DDOS,4,syn_flag_number,0.2615495976449082
10,client_2,2,DDOS,5,syn_count,0.20267578214223816
10,client_2,2,DDOS,6,UDP,0.19267309142762987
10,client_2,2,DDOS,7,Header_Length,0.14590070247418802
10,client_2,2,DDOS,8,rst_count,0.1228456512074796
10,client_2,2,DDOS,9,ack_flag_number,0.11862630348599879
10,client_2,2,DDOS,10,ICMP,0.09944954644874084
10,client_3,3,DDOS,1,Tot sum,0.9565247746537902
10,client_3,3,DDOS,2,Variance,0.16818961617391165
10,client_3,3,DDOS,3,Tot size,0.15541714411472224
10,client_3,3,DDOS,4,AVG,0.11855832621020801
10,client_3,3,DDOS,5,syn_flag_number,0.08276385227553115
10,client_3,3,DDOS,6,fin_count,0.07220533516822908
10,client_3,3,DDOS,7,UDP,0.05581868224929086
10,client_3,3,DDOS,8,syn_count,0.03236410348976316
10,client_3,3,DDOS,9,rst_count,0.027135054738099205
10,client_3,3,DDOS,10,ack_flag_number,0.02041096689726693
10,client_4,4,DDOS,1,Tot sum,0.5982558487869478
10,client_4,4,DDOS,2,Variance,0.5865725975726447
10,client_4,4,DDOS,3,syn_flag_number,0.35402152539583676
10,client_4,4,DDOS,4,fin_count,0.2036981859984414
10,client_4,4,DDOS,5,syn_count,0.18303604655928202
10,client_4,4,DDOS,6,UDP,0.14133721806743446
10,client_4,4,DDOS,7,rst_count,0.12332243074966559
10,client_4,4,DDOS,8,Std,0.1210792068232281
10,client_4,4,DDOS,9,ack_flag_number,0.11298722062319592
10,client_4,4,DDOS,10,Max,0.10566930984244897
10,client_5,5,DDOS,1,Tot sum,0.5782877160424056
10,client_5,5,DDOS,2,AVG,0.5421353360749825
10,client_5,5,DDOS,3,Tot size,0.4519647246970135
10,client_5,5,DDOS,4,Variance,0.36628855089283063
10,client_5,5,DDOS,5,Std,0.15976691225838027
10,client_5,5,DDOS,6,Max,0.05385367223231782
10,client_5,5,DDOS,7,syn_flag_number,0.04373478140580128
10,client_5,5,DDOS,8,syn_count,0.031296404610963835
10,client_5,5,DDOS,9,fin_count,0.03027787216961194
10,client_5,5,DDOS,10,Number,0.019960353300358356
10,server,,DOS,1,Tot size,0.5900084683891937
10,server,,DOS,2,Tot sum,0.5798477508704968
10,server,,DOS,3,AVG,0.39638820200592373
10,server,,DOS,4,syn_flag_number,0.2228168458688721
10,server,,DOS,5,Variance,0.2062663825086871
10,server,,DOS,6,syn_count,0.17453755216812372
10,server,,DOS,7,UDP,0.12964950668122566
10,server,,DOS,8,fin_count,0.08898669103041248
10,server,,DOS,9,ack_flag_number,0.047805112527730585
10,server,,DOS,10,rst_count,0.04327729859255861
10,client_1,1,DOS,1,Tot sum,0.5642958168997237
10,client_1,1,DOS,2,Variance,0.4057241652596023
